Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
cell-matrix adhesion	GOTERM_BP_DIRECT	12	1.7241379310344829	0.0009529224322468164	FGB, SGCE, MKLN1, FGA, ITGA3, ITGB3, PPFIA1, ITGB8, EPDR1, ITGA6, NID2, TMEM8B	643	109	19453	3.3306604648508285	0.9601032352854192	0.2927204453238175	0.2922006694516829
positive regulation of gene expression	GOTERM_BP_DIRECT	32	4.597701149425287	0.0011192525963808	GRIA1, TOR2A, BMPR2, TFRC, CITED2, HFE, ITGB3, PKD2, FGF2, ERBB3, MUSTN1, DHX36, ZC3H12A, E2F1, RPS3, ITGB8, SLC38A2, LDLR, WNT3, ITGA3, WNT5A, EIF2AK3, ETV2, F3, TGFBR1, RUNX2, VEGFA, BMP2, PLSCR1, IL1B, NOS1AP, PRKD1	643	519	19453	1.865340992517612	0.977270066913416	0.3151628769309213	0.3146032506327308
positive regulation of endothelial cell migration	GOTERM_BP_DIRECT	9	1.293103448275862	0.001740948281824	BMPR2, ITGB3, ATOH8, WNT5A, ZC3H12A, PRKD1, FGF2, RHOB, VEGFA	643	68	19453	4.004139602964047	0.9972269040249968	0.4525126341756476	0.4517091195840365
leukocyte migration	GOTERM_BP_DIRECT	6	0.8620689655172413	0.002016765978521	LYN, ITGA3, PDE4B, ADORA1, ITGA6, ICAM1	643	28	19453	6.4828926905132205	0.9989099517024008	0.4729028235837287	0.4720631026776907
negative regulation of cell death	GOTERM_BP_DIRECT	9	1.293103448275862	0.0020993022650949	BNIP3L, CHMP2B, HTR2B, PRKD1, TNFRSF1B, FGF2, SOX4, NCK1, CHMP5	643	70	19453	3.889735614307932	0.9991757185621122	0.4729028235837287	0.4720631026776907
ossification	GOTERM_BP_DIRECT	10	1.4367816091954022	0.0022788858161077	MINPP1, TWSG1, CLEC11A, PAM16, DHX36, EIF2AK3, STC1, OSTF1, CHRDL1, RUNX2	643	87	19453	3.4774137037235664	0.99955129398545	0.4812721982892622	0.4804176161082218
response to carbohydrate	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0025895330600789	LYN, NQO1, IL1B, ME1	643	9	19453	13.445999654397788	0.9998433319081764	0.5038955692890192	0.5030008153926789
apoptotic process	GOTERM_BP_DIRECT	35	5.028735632183908	0.0026842616890211	PPP1R15A, RTKN, SEMA3A, IFI6, SLC40A1, BUB1B, CTSS, RTN4, CASP5, GRK5, CTSK, ZC3H12A, RPS3, MCL1, PLK3, UNC5B, RHBDD1, MX1, AXIN1, CIDEB, TGFBR1, RHOB, RNF144B, NR4A1, PLSCR1, PACS2, ESPL1, TMBIM4, IL1B, IL2RA, MAP3K10, BIRC5, PRKD1, XAF1, TNFRSF21	643	619	19453	1.7106178881806555	0.999886341857348	0.5038955692890192	0.5030008153926789
positive regulation of smooth muscle cell proliferation	GOTERM_BP_DIRECT	8	1.1494252873563218	0.0028815949385996	HDAC4, NR4A3, STAT1, ITGB3, RBPMS2, CDH13, FGF2, HBEGF	643	58	19453	4.17289644446828	0.999941761576334	0.5124689103962252	0.5115589330471937
positive regulation of cell migration	GOTERM_BP_DIRECT	19	2.7298850574712645	0.0034436633317405	LYN, SEMA5A, SUN2, SEMA7A, SEMA3C, SEMA3A, SEMA3G, F3, TGFBR1, VEGFA, BMP2, GPNMB, IL1B, PDGFC, PDPN, CDH13, ITGA6, MAP4K4, HBEGF	643	267	19453	2.152870731181668	0.9999913350117046	0.5302657263363403	0.529324147656844
positive regulation of cellular component movement	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0036090930000869	LYN, PDPN, TGFBR1, VEGFA	643	10	19453	12.10139968895801	0.999995055254256	0.5302657263363403	0.529324147656844
positive regulation of p38MAPK cascade	GOTERM_BP_DIRECT	6	0.8620689655172413	0.0037076203869975	BMP2, IL1B, ZC3H12A, RELL1, MAP3K5, VEGFA	643	32	19453	5.672531104199067	0.9999964598146684	0.5302657263363403	0.529324147656844
ERAD pathway	GOTERM_BP_DIRECT	5	0.7183908045977011	0.0037353056038086	ERLEC1, RHBDD1, SEL1L, DERL1, ATF6	643	20	19453	7.563374805598756	0.999996777100905	0.5302657263363403	0.529324147656844
negative regulation of apoptotic process	GOTERM_BP_DIRECT	31	4.454022988505748	0.0038919278863237	PAGE4, TFRC, CITED2, HTR2B, IFI6, SLC40A1, CLN8, IFIT3, UNG, DSTYK, BAG4, ERBB3, GRK5, PDPN, ADORA1, MCL1, MAP4K4, NQO1, BNIP3L, PLK3, SERPINB2, RHBDD1, WNT5A, PRLR, TGFBR1, TBX3, VEGFA, DNAJC3, RNF144B, TMBIM4, BIRC5	643	540	19453	1.736774955359714	0.999998105360455	0.5302657263363403	0.529324147656844
signal transduction	GOTERM_BP_DIRECT	62	8.908045977011495	0.0039232444979013	RTKN, RNF14, FGF2, DPYSL2, NAMPT, TAGAP, CAPN5, ADORA1, PDE4B, TCP11L1, PPFIA1, OSTF1, CCR5, NCK1, CLEC11A, TEX2, TGFBR1, MOB3B, RHOB, MRAS, ADCY9, RASA3, IL1B, TYRO3, PRKD1, ATF6, RHOQ, OPTN, TNFRSF21, HBEGF, GRIA1, PLEKHH3, NRXN2, STC1, NDRG1, CORO1C, RAP1B, GNA13, RHOT2, CCL8, ERBB3, GRK5, GPNMB, ABL2, LRRC8A, LRRC8E, LYN, STAT1, AMFR, STAT2, MX1, MKLN1, NR4A1, MAVS, NR4A3, GNAL, RHEB, DLG5, OGN, MAP3K10, CMTM1, LRP12	643	1307	19453	1.435131562194714	0.9999982963131162	0.5302657263363403	0.529324147656844
anion transmembrane transport	GOTERM_BP_DIRECT	6	0.8620689655172413	0.0042530675940663	ABCC1, SLC1A2, LRRC8A, SLC39A14, LRRC8E, SLC19A1	643	33	19453	5.500636222253641	0.9999994435914394	0.5527352077057807	0.5517537305686885
neural crest cell migration	GOTERM_BP_DIRECT	7	1.0057471264367817	0.0047667782859342	SEMA5A, SEMA7A, SEMA3C, SEMA3A, SEMA3G, HTR2B, CORO1C	643	48	19453	4.4119686365992745	0.9999999026988838	0.5641366044916342	0.5631348821989588
negative regulation of myelination	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0048416577479305	TMEM98, EIF2AK3, TNFRSF21, JAM2	643	11	19453	11.00127244450728	0.9999999245423676	0.5641366044916342	0.5631348821989588
positive regulation of peptide hormone secretion	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0048416577479305	FGB, FGA, HFE, PRKD1	643	11	19453	11.00127244450728	0.9999999245423676	0.5641366044916342	0.5631348821989588
wound healing	GOTERM_BP_DIRECT	10	1.4367816091954022	0.0050866463644916	SERPINB2, ERBB3, DST, LOX, ITGB3, WNT5A, FGF2, TGFBR1, MAP3K5, DCBLD2	643	98	19453	3.087091757387248	0.9999999671607356	0.5729259355205716	0.5719086062476733
negative regulation of type I interferon-mediated signaling pathway	GOTERM_BP_DIRECT	5	0.7183908045977011	0.0053528534780497	YTHDF3, OAS1, STAT2, OAS3, USP18	643	22	19453	6.87579527781705	0.9999999867049582	0.583461029107423	0.5824249929503812
platelet aggregation	GOTERM_BP_DIRECT	7	1.0057471264367817	0.0058404233610206	FGB, FGA, ITGB3, STXBP1, TYRO3, PTPN6, MYL12A	643	50	19453	4.235489891135304	0.9999999974639184	0.6043496864671289	0.6032765588794394
lung development	GOTERM_BP_DIRECT	9	1.293103448275862	0.0060473491755968	LOX, CRISPLD2, ITGA3, FBXW7, WNT5A, PDPN, FGF2, PPP1CA, VEGFA	643	83	19453	3.2804999156813883	0.9999999987448728	0.6043496864671289	0.6032765588794394
positive regulation of apoptotic signaling pathway	GOTERM_BP_DIRECT	6	0.8620689655172413	0.0062300210632451	NGFR, CTSK, WNT5A, RPS3, CTSS, TGFBR1	643	36	19453	5.042249870399171	0.9999999993255272	0.6043496864671289	0.6032765588794394
positive regulation of endothelial cell chemotaxis	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0062986127050095	SEMA5A, PRKD1, FGF2, VEGFA	643	12	19453	10.08449974079834	0.999999999465838	0.6043496864671289	0.6032765588794394
cytoplasmic microtubule organization	GOTERM_BP_DIRECT	7	1.0057471264367817	0.0064387655261369	CLIP3, PLK3, PCM1, KATNAL1, DST, CLIP4, AXIN1	643	51	19453	4.152441069740494	0.9999999996683476	0.6043496864671289	0.6032765588794394
mitotic cytokinesis	GOTERM_BP_DIRECT	8	1.1494252873563218	0.0070092633410998	RTKN, ESPL1, ARL3, EXOC6B, BIRC5, SPTBN1, AURKB, RHOB	643	68	19453	3.5592352026347087	0.9999999999523764	0.613453050758128	0.6123637585697442
viral entry into host cell	GOTERM_BP_DIRECT	10	1.4367816091954022	0.007023624004176	EFNB2, PLSCR1, TFRC, ITGB3, TYRO3, CCR5, EPS15, LDLR, CTSB, ICAM1	643	103	19453	2.9372329342131094	0.9999999999546478	0.613453050758128	0.6123637585697442
endoplasmic reticulum unfolded protein response	GOTERM_BP_DIRECT	7	1.0057471264367817	0.0070803992244945	ERLEC1, ERMP1, AMFR, DERL1, EIF2AK3, ATF6, MBTPS2	643	52	19453	4.072586433783946	0.9999999999626156	0.613453050758128	0.6123637585697442
nervous system development	GOTERM_BP_DIRECT	25	3.5919540229885056	0.0077920874026819	SEMA5A, HDAC4, GPSM1, SEMA7A, SEMA3C, CLN8, FGF2, CHRDL1, CDC20, ERBB3, DPYSL2, ZC3H12A, ATOH8, ADORA1, SPOCK1, DIP2B, SOX4, SERF1B, LSAMP, VPS13A, TGFBR1, VEGFA, TYRO3, TPP1, PRKD1	643	425	19453	1.779617601317354	0.9999999999966852	0.6161057593657124	0.6150117568335448
nucleobase-containing compound metabolic process	GOTERM_BP_DIRECT	6	0.8620689655172413	0.0078598062042597	OAS2, DPYSL2, OAS3, DDX11, SRBD1, TK1	643	38	19453	4.776868298272899	0.9999999999973678	0.6161057593657124	0.6150117568335448
regulation of cardiac muscle cell contraction	GOTERM_BP_DIRECT	4	0.5747126436781609	0.00798949283065	PDE4B, ADORA1, STC1, KCNJ2	643	13	19453	9.30876899150616	0.9999999999983076	0.6161057593657124	0.6150117568335448
positive regulation of protein phosphorylation	GOTERM_BP_DIRECT	16	2.2988505747126435	0.0082675524982444	LYN, SEMA7A, TFRC, LIMCH1, ITGB3, AXIN1, FGF2, MOB3B, AURKB, VEGFA, CLIP3, MAVS, BMP2, GPNMB, IL1B, BIRC5	643	226	19453	2.141840652912922	0.9999999999993436	0.6161057593657124	0.6150117568335448
protein ubiquitination	GOTERM_BP_DIRECT	28	4.022988505747127	0.0084571778904562	CDCA3, RNF14, SEL1L, CCNF, ASB13, KLHL13, CDC20, HERC5, RNF19A, UBC, E4F1, RBBP6, HERC6, SKP1, DTX3L, USP9X, UBE2C, FBXW7, AMFR, FBXO33, RNF144B, TRIM17, RNF149, KLHL7, KBTBD2, UBE2V2, TRIM14, FBXL2	643	499	19453	1.6975911387315847	0.999999999999656	0.6161057593657124	0.6150117568335448
positive regulation of protein autophosphorylation	GOTERM_BP_DIRECT	5	0.7183908045977011	0.0085619906820572	GPNMB, PDGFC, PRLR, CALM2, VEGFA	643	25	19453	6.050699844479005	0.9999999999997594	0.6161057593657124	0.6150117568335448
positive regulation of macrophage cytokine production	GOTERM_BP_DIRECT	5	0.7183908045977011	0.0085619906820572	PANX1, SEMA7A, GPRC5B, WNT5A, RTN4	643	25	19453	6.050699844479005	0.9999999999997594	0.6161057593657124	0.6150117568335448
positive regulation of protein kinase B signaling	GOTERM_BP_DIRECT	14	2.0114942528735638	0.0085696865019794	SEMA5A, OSBPL8, UNC5B, FGF2, F3, TGFBR1, RTN4, VEGFA, BAG4, ERBB3, PDGFC, PTPN6, PIK3AP1, HBEGF	643	185	19453	2.289453995208272	0.9999999999997656	0.6161057593657124	0.6150117568335448
positive regulation of angiogenesis	GOTERM_BP_DIRECT	13	1.8678160919540232	0.0091352409258318	SEMA5A, ITGB3, WNT5A, FGF2, F3, RTN4, RHOB, VEGFA, LRG1, IL1B, ZC3H12A, ITGB8, PRKD1	643	166	19453	2.369249939103225	0.999999999999966	0.6430828976747051	0.6419409925589761
negative chemotaxis	GOTERM_BP_DIRECT	6	0.8620689655172413	0.0097641643910672	SEMA5A, SEMA7A, SEMA3C, SEMA3A, ITGB3, SEMA3G	643	40	19453	4.538024883359254	0.999999999999996	0.6613182680270749	0.6601439828515312
cardiac epithelial to mesenchymal transition	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0099221204220586	BMP2, RTN4, TGFBR1, TBX3	643	14	19453	8.643856920684293	0.9999999999999976	0.6613182680270749	0.6601439828515312
type I interferon signaling pathway	GOTERM_BP_DIRECT	7	1.0057471264367817	0.0101135235429805	IFIH1, HDAC4, MAVS, OAS1, STAT1, OAS2, STAT2	643	56	19453	3.7816874027993785	0.9999999999999988	0.6613182680270749	0.6601439828515312
aortic valve development	GOTERM_BP_DIRECT	3	0.4310344827586206	0.0101771381880461	BMP2, BMPR2, TNFRSF1B	643	5	19453	18.152099533437017	0.999999999999999	0.6613182680270749	0.6601439828515312
positive regulation of protein binding	GOTERM_BP_DIRECT	8	1.1494252873563218	0.0109963691082216	BMP2, DTX3L, USP9X, HFE, USP33, AMFR, WNT5A, DERL1	643	74	19453	3.270648564583245	1.0	0.7010704003147356	0.6998255283402198
regulation of cell shape	GOTERM_BP_DIRECT	12	1.7241379310344829	0.0116202269047615	GNA13, MKLN1, FGD6, PDPN, RHOU, PRPF40A, BRWD1, MYL12A, RHOQ, RHOB, MYL12B, VEGFA	643	151	19453	2.404251593832717	1.0	0.7050886428552438	0.7038366357948319
innate immune response	GOTERM_BP_DIRECT	33	4.741379310344827	0.0117476767512177	SAMD9, IFI6, ADARB1, IFIT3, IFIT2, OASL, IFIH1, HERC5, DHX36, MAP3K5, FGB, LYN, NQO1, FGA, DTX3L, RSAD2, MX2, MX1, PARP9, PARP14, MAVS, ZNFX1, OAS1, TRIM17, OAS2, OAS3, SPIRE1, TRIM14, PRKD1, SERINC3, LGR4, OPTN, TMEM106A	643	634	19453	1.574708950061571	1.0	0.7050886428552438	0.7038366357948319
bone development	GOTERM_BP_DIRECT	7	1.0057471264367817	0.0119330643828635	BMP2, EPYC, PDGFC, OGN, STC1, TMEM38B, PAPSS2	643	58	19453	3.651284388909744	1.0	0.7050886428552438	0.7038366357948319
positive regulation of Wnt signaling pathway	GOTERM_BP_DIRECT	6	0.8620689655172413	0.0119634053161907	KANK1, BMP2, ATP6AP2, PBXIP1, DISC1, WNT3	643	42	19453	4.321928460342146	1.0	0.7050886428552438	0.7038366357948319
positive regulation of heterotypic cell-cell adhesion	GOTERM_BP_DIRECT	4	0.5747126436781609	0.012102734917314	FGB, FGA, IL1B, THY1	643	15	19453	8.067599792638672	1.0	0.7050886428552438	0.7038366357948319
protein transport	GOTERM_BP_DIRECT	25	3.5919540229885056	0.0127968110398024	MCFD2, NUP205, ARL3, STXBP1, LIN7C, SCAMP4, CCDC91, RAB11FIP1, SNX25, STXBP5, SNX7, EPS15, COG8, DTX3L, COG5, MX2, MYO5A, VPS37A, SNAP91, TTC8, CHMP2B, SPIRE1, RAB9A, ARL8B, CHMP5	643	444	19453	1.703462794053774	1.0	0.7166544931819314	0.7153819489501789
Rho protein signal transduction	GOTERM_BP_DIRECT	7	1.0057471264367817	0.0129241572943277	GNA13, NGFR, RTKN, ITGA3, PDPN, CDH13, RHOB	643	59	19453	3.5893982128265285	1.0	0.7166544931819314	0.7153819489501789
axon guidance	GOTERM_BP_DIRECT	14	2.0114942528735638	0.0129375330228167	SEMA5A, NGFR, SEMA7A, SEMA3C, UNC5B, SEMA3A, USP33, WNT5A, SEMA3G, EFNB2, TTC8, DPYSL2, EPHB1, WNT3	643	195	19453	2.1720460980181047	1.0	0.7166544931819314	0.7153819489501789
BMP signaling pathway	GOTERM_BP_DIRECT	9	1.293103448275862	0.0132506697737537	TWSG1, BMP2, BMPR2, USP9X, HFE, WNT5A, ETV2, CHRDL1, RUNX2	643	95	19453	2.866120978963739	1.0	0.722161502669581	0.72087917978825
retrograde protein transport, ER to cytosol	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0145361151258304	ERLEC1, SEL1L, DERL1, SEC61B	643	16	19453	7.563374805598755	1.0	0.7556543540027876	0.7543125587604033
positive regulation of chromatin binding	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0145361151258304	CDT1, DTX3L, DDX11, PARP9	643	16	19453	7.563374805598755	1.0	0.7556543540027876	0.7543125587604033
synaptic vesicle lumen acidification	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0145361151258304	ATP6AP2, ATP6V1H, ATP6V1D, ATP6V1C1	643	16	19453	7.563374805598755	1.0	0.7556543540027876	0.7543125587604033
positive regulation of exit from mitosis	GOTERM_BP_DIRECT	3	0.4310344827586206	0.0149336376729563	UBE2C, CDCA5, BIRC5	643	6	19453	15.126749611197514	1.0	0.7645569954078705	0.7631993919830563
heart development	GOTERM_BP_DIRECT	15	2.155172413793104	0.0152544868593541	CITED2, ITGA3, HTR2B, ECE1, PKD2, PCSK5, CRIP1, TGFBR1, BMP2, C1ORF127, LOX, ERBB3, PLCE1, PAM, SOX4	643	221	19453	2.0534049245969475	1.0	0.7654048506240236	0.7640457416853601
positive regulation of phosphatidylinositol 3-kinase signaling	GOTERM_BP_DIRECT	8	1.1494252873563218	0.0154032346381869	ERBB3, UNC5B, PDGFC, PTPN6, UBE3A, PIK3AP1, FGF2, VEGFA	643	79	19453	3.063645490875445	1.0	0.7654048506240236	0.7640457416853601
ubiquitin-dependent protein catabolic process	GOTERM_BP_DIRECT	18	2.586206896551724	0.0159195203174366	USP38, DTX3L, RNF14, USP9X, UBE2C, AMFR, USP33, UBE2D1, UBE3A, USP18, HERC5, RNF144B, RNF149, RNF19A, RBBP6, DISC1, HERC6, SKP1	643	289	19453	1.88430098963014	1.0	0.7795950601828744	0.7782107540683146
regulation of ERK1 and ERK2 cascade	GOTERM_BP_DIRECT	5	0.7183908045977011	0.0182358162101323	LYN, IL1B, PTPN6, ROS1, EPHB1	643	31	19453	4.879596648773391	1.0	0.8802688996291014	0.8787058296682329
mitotic spindle assembly checkpoint	GOTERM_BP_DIRECT	5	0.7183908045977011	0.0203112727554881	CDC20, BIRC5, BUB1B, AURKB, SPC25	643	32	19453	4.727109253499222	1.0	0.9366577804730968	0.9349945822834436
positive regulation of response to cytokine stimulus	GOTERM_BP_DIRECT	3	0.4310344827586206	0.0204535936047644	IFIH1, MAVS, WNT5A	643	7	19453	12.96578538102644	1.0	0.9366577804730968	0.9349945822834436
positive regulation of axon extension involved in axon guidance	GOTERM_BP_DIRECT	3	0.4310344827586206	0.0204535936047644	SEMA5A, BMPR2, VEGFA	643	7	19453	12.96578538102644	1.0	0.9366577804730968	0.9349945822834436
substantia nigra development	GOTERM_BP_DIRECT	6	0.8620689655172413	0.0205127776723909	MAOB, CASP5, BASP1, CKB, CALM2, FGF2	643	48	19453	3.7816874027993785	1.0	0.9366577804730968	0.9349945822834436
positive regulation of ERK1 and ERK2 cascade	GOTERM_BP_DIRECT	15	2.155172413793104	0.0208787630605455	FGB, FGA, SEMA7A, FBXW7, ITGB3, HTR2B, FGF2, ICAM1, VEGFA, RAP1B, BMP2, DSTYK, CCL8, GPNMB, PDGFC	643	230	19453	1.973054297112719	1.0	0.9406578717544476	0.938987570709604
proteolysis involved in cellular protein catabolic process	GOTERM_BP_DIRECT	5	0.7183908045977011	0.0225261976061873	DNAJC3, CTSO, CTSK, CTSS, CTSB	643	33	19453	4.583863518544701	1.0	1.0	0.9985198342214328
regulation of release of sequestered calcium ion into cytosol	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0233810972655234	LYN, ITGB3, PTPN6, PRKD1	643	19	19453	6.369157731030532	1.0	1.0	0.9985198342214328
axonal fasciculation	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0233810972655234	SEMA5A, SEMA3A, RTN4, TNFRSF21	643	19	19453	6.369157731030532	1.0	1.0	0.9985198342214328
positive regulation of cell proliferation	GOTERM_BP_DIRECT	28	4.022988505747127	0.0241590746710184	HDAC4, TOR2A, HTR2B, FGF2, EFNB2, CDC20, PDF, ERBB3, GRK5, BLOC1S2, NAMPT, PDGFC, SOX4, IL13RA1, LYN, SS18, CLEC11A, PRLR, TGFBR1, TBX3, RUNX2, VEGFA, BMP2, IL1B, BIRC5, PTPN6, EAPP, HBEGF	643	545	19453	1.5543082169303866	1.0	1.0	0.9985198342214328
central nervous system development	GOTERM_BP_DIRECT	11	1.5804597701149428	0.0250944468035858	NGFR, SZT2, ALDH5A1, CITED2, B3GNT5, PDGFC, TPP1, PAM, SPTBN1, PTS, TBX3	643	148	19453	2.248570888150981	1.0	1.0	0.9985198342214328
platelet activation	GOTERM_BP_DIRECT	7	1.0057471264367817	0.0261601990362585	GNA13, FGB, FGA, PLSCR1, ITGB3, PDPN, TYRO3	643	69	19453	3.069195573286452	1.0	1.0	0.9985198342214328
macrophage derived foam cell differentiation	GOTERM_BP_DIRECT	3	0.4310344827586206	0.0266815928387858	SOAT1, STAT1, WNT5A	643	8	19453	11.345062208398137	1.0	1.0	0.9985198342214328
regulation of high voltage-gated calcium channel activity	GOTERM_BP_DIRECT	3	0.4310344827586206	0.0266815928387858	NOS1AP, PDE4B, CALM2	643	8	19453	11.345062208398137	1.0	1.0	0.9985198342214328
regulation of lipid storage	GOTERM_BP_DIRECT	3	0.4310344827586206	0.0266815928387858	FBXW7, ALKBH7, MEST	643	8	19453	11.345062208398137	1.0	1.0	0.9985198342214328
blood coagulation, fibrin clot formation	GOTERM_BP_DIRECT	3	0.4310344827586206	0.0266815928387858	FGB, FGA, ITGB3	643	8	19453	11.345062208398137	1.0	1.0	0.9985198342214328
Golgi vesicle transport	GOTERM_BP_DIRECT	4	0.5747126436781609	0.0268480016751235	TRAPPC6A, CCDC91, SPIRE1, PRKD1	643	20	19453	6.050699844479005	1.0	1.0	0.9985198342214328
positive regulation of defense response to virus by host	GOTERM_BP_DIRECT	5	0.7183908045977011	0.0273820732739253	MAVS, DTX3L, STAT1, ZC3H12A, PARP9	643	35	19453	4.321928460342146	1.0	1.0	0.9985198342214328
cellular response to xenobiotic stimulus	GOTERM_BP_DIRECT	7	1.0057471264367817	0.0295988948493643	TFRC, RNF149, IL1B, ITGB3, PDE4B, E2F1, CD69	643	71	19453	2.982739359954439	1.0	1.0	0.9985198342214328
semaphorin-plexin signaling pathway	GOTERM_BP_DIRECT	5	0.7183908045977011	0.030026079801028	SEMA5A, SEMA7A, SEMA3C, SEMA3A, SEMA3G	643	36	19453	4.201874891999309	1.0	1.0	0.9985198342214328
mitotic cell cycle	GOTERM_BP_DIRECT	11	1.5804597701149428	0.0318278215015176	CDT1, PLK3, KIF18B, CDCA5, BIRC5, PTPN6, MYBL2, KIF11, PKMYT1, POLE, AURKB	643	154	19453	2.1609642301710728	1.0	1.0	0.9985198342214328
regulation of cyclin-dependent protein serine/threonine kinase activity	GOTERM_BP_DIRECT	6	0.8620689655172413	0.0323035431617616	HERC5, CCNB2, CCNB1, CCNH, CCNF, PKMYT1	643	54	19453	3.361499913599447	1.0	1.0	0.9985198342214328
release of sequestered calcium ion into cytosol	GOTERM_BP_DIRECT	6	0.8620689655172413	0.0323035431617616	RASA3, HTR2B, PLCE1, ITPR3, PKD2, FGF2	643	54	19453	3.361499913599447	1.0	1.0	0.9985198342214328
positive regulation of canonical Wnt signaling pathway	GOTERM_BP_DIRECT	10	1.4367816091954022	0.0323068056121644	SEMA5A, ASPM, KANK1, GPRC5B, ATP6AP2, FAM53B, FGF2, LYPD6, SOX4, LGR4	643	133	19453	2.274699189653761	1.0	1.0	0.9985198342214328
positive regulation of neuroblast proliferation	GOTERM_BP_DIRECT	5	0.7183908045977011	0.0328156764641143	ASPM, WDR62, DISC1, FGF2, VEGFA	643	37	19453	4.088310705729057	1.0	1.0	0.9985198342214328
ventricular septum morphogenesis	GOTERM_BP_DIRECT	5	0.7183908045977011	0.0328156764641143	BMPR2, CITED2, SOX4, TGFBR1, TBX3	643	37	19453	4.088310705729057	1.0	1.0	0.9985198342214328
