gene_name	C1	C2	C3	P1	P2	P3
AL080243.2	431.8316587	445.4362626	342.2078152	589.0214996	336.1918849	337.6795112
ENO1	355.1962982	547.5695958	703.5903276	704.02245	727.9092088	357.9757494
S100A10	292.9603273	213.3377822	207.3744579	378.0237432	226.4974505	175.106797
RPL19	411.1404229	371.8643388	329.1464533	609.0184213	442.4763499	410.9892624
AC011495.1	451.1199265	383.6582923	321.7429843	479.3354342	296.2700906	256.8459998
RPL3	359.9065432	426.1654698	335.6506277	512.9518969	339.6937625	320.0085889
RPL29	317.6041397	366.2054561	308.1206399	501.3466438	250.234371	251.3392199
HSP90AB1	370.9161672	363.0082912	499.4781934	521.9083745	654.8785977	313.6724941
TPI1	421.7007967	482.8152301	520.8848361	644.7350719	596.2926853	213.2848487
SH3BGRL3	447.2132362	347.8932678	397.0307127	525.5408359	459.9884169	487.8507863
CTSD	417.1381782	501.2730662	241.2933297	235.5486568	115.3973924	1847.773285
CCL2	416.9521747	222.0588077	174.1511375	658.5884384	181.0322007	816.4996206
RPL41P1	246.0884914	213.7805855	211.4590811	540.95615	386.469079	238.5357648
RPL10A	338.8179868	322.2575481	296.0682428	506.0637951	356.895533	232.63583
AC005912.1	282.3041365	340.4044708	248.3704063	649.0460932	282.0702721	431.0830298
RPS6	337.5226699	323.2876288	264.5964173	444.9032115	309.132384	301.9763395
RPL35	322.8060788	283.5056779	284.5213549	451.5802984	317.6525954	232.5285789
RPS2P5	244.0520051	302.0654007	307.8268584	309.4749501	212.8059714	203.2277315
SPARC	661.4582893	728.5053663	627.479632	292.3948042	496.6210595	98.83281706
GPX1	275.8880836	411.3528244	256.5261853	298.082557	242.0465763	849.1955314
APOE	870.6029733	1289.142279	341.399208	309.3711767	130.9748005	331.2268291
SRGN	295.5609	181.1868497	150.6537068	337.4106531	131.7646628	409.4945341
RPS8	319.3047831	272.7738091	231.0546667	404.6618364	269.1083297	216.6924829
IFITM3	426.015569	276.3463749	190.2906508	491.9689427	383.5236107	209.0877528
HSPA5	293.8436916	271.6294283	359.7261324	277.8353527	348.3875068	196.6403044
CD63	490.6925513	384.9006116	278.2322768	394.3451591	289.9815583	481.2579147
RPS3A	265.0698413	286.3886298	226.1196031	443.7003452	270.6530342	296.349673
SLC25A6	309.2061926	346.7634081	249.1622941	378.3540527	288.5538282	221.3306558
PFN1	257.2912543	289.4026434	269.6008088	382.0505202	312.7979818	466.8912296
RPS4X	257.6377717	279.8714232	219.4601577	361.889336	268.1467506	239.171401
RPLP0	257.7279274	300.4665842	262.5044818	404.286893	307.0121614	232.5544267
IGFBP7	588.3575795	788.3979194	420.590376	416.0372185	441.9651592	49.81848372
HBA2	463.6920454	22.54926835	51.81247407	160.1454305	107.8563468	355.7018264
NDUFS5	365.2777979	334.219718	184.5235211	405.9449155	287.1210285	195.6924625
RN7SL1	318.6720524	424.7012301	367.1181898	214.3779234	213.425081	421.7510209
HBB	337.2166295	16.47145866	53.28229669	126.69953	146.6013666	389.3194502
RPL36AL	331.2839341	204.761565	252.6179249	410.1459771	293.9037693	235.3359814
RPS15	206.5285708	225.5869591	212.5455737	366.6823088	248.6665411	248.7712848
PKM	252.970752	329.1385545	413.8854572	418.0823633	463.2683859	280.9774574
CTSZ	275.066794	315.6349523	147.9511046	172.6633602	91.97950511	1251.176527
HIF1A	445.7458272	342.6693229	450.7158517	296.7378592	340.2098016	116.0368278
PRDX5	364.3569724	346.1696628	292.1968148	372.8713202	242.4966369	188.8402668
EEF1A1P5	279.6231633	250.1728321	219.915138	286.2572928	429.5068936	189.8466909
TXN	309.6500986	338.9940562	259.4496712	373.3062001	341.8573686	349.5487362
SCD	582.5735978	526.7225518	677.8389024	274.4677451	316.0403303	37.34998525
HSPA8	203.6321473	278.0759351	370.0831285	379.3605353	450.0039999	263.7272684
ATP5F1B	295.3962104	329.3340841	336.5691846	314.481902	360.2451497	214.7605184
AC073861.1	262.5263654	248.1209058	206.6654025	198.2689962	251.183004	203.3739492
RPL11	272.1993704	210.4185214	168.5085482	293.2985487	173.6030764	188.4538229
P4HB	411.9333724	433.0351273	356.5790669	290.5999605	330.5631217	128.3701567
CEBPB	331.3118491	239.688303	185.9986802	363.563796	175.0225528	424.2686355
PLIN2	270.2923042	241.8507118	221.0193227	474.3119016	222.8371762	194.295646
FCER1G	259.590572	149.7483361	84.64805456	227.7511902	65.62849389	745.4432992
CHCHD2	264.6884712	257.0418001	255.515676	364.6215522	317.8460421	204.9114376
RPL7	222.7693831	231.0063673	190.0602651	308.2158648	216.4091477	192.2188943
INHA	1115.100936	653.1513045	398.3646795	162.7954616	149.7247263	8.979903026
IL33	296.1378351	218.9148026	137.7737591	476.5006937	245.2630524	58.65757328
RPLP2	299.3180709	175.724055	137.724326	313.7125632	178.8365324	203.1989692
UBC	305.1733772	240.3560301	204.5079354	279.996507	214.1729882	229.1541928
RPLP1	241.9310367	224.8018455	164.4484437	289.4050806	190.2119133	215.9114817
PTX3	116.6694282	206.3896534	94.71963579	258.3328605	210.8827351	71.75828809
SERPINB2	116.7936804	60.31983637	68.50933757	504.850248	104.20591	90.69893653
YBX1	191.0304652	207.6822564	229.4440547	260.3716668	255.3836446	226.7192529
IL1B	22.20809035	8.669106879	9.625880337	415.3103929	136.0830187	36.07651681
RHOA	215.8351342	231.7344287	217.502794	228.9637146	216.2637786	269.2973306
TPT1	177.4593671	181.3909502	135.1955922	274.6812038	123.6970443	162.2042269
RPL18A	197.5825695	182.3595379	167.6826972	267.1249842	194.3528664	166.7130294
CXCL1	51.88449503	32.64029653	36.22320334	515.553101	253.3455579	74.07803009
TAGLN2	185.116256	353.7808829	343.8738596	278.5327107	311.8987428	200.7976671
S100A16	257.8422876	340.9004209	341.4256259	284.4854024	225.4483536	48.72877698
RPL21	218.5080631	163.392764	145.005948	271.4969858	177.4377112	148.7176333
RPS19	175.1402566	162.1403844	135.8238031	257.9754833	177.9335413	167.1147942
CD14	166.0198665	162.1914506	67.26305818	415.5737575	89.98574673	647.880616
RPL10	154.7716718	177.9129066	145.4980293	274.8850673	175.6498334	220.0069543
RPL4	184.8716355	181.0180665	150.4427589	238.514332	193.244374	162.8085654
RPL5	176.2270742	191.5204161	159.2763972	251.3358025	182.9518678	136.762335
RPS16	179.4453923	155.2941114	132.2162437	267.0518158	165.9249901	164.372924
CTSB	202.7825842	264.6846981	117.0671028	137.7024538	79.90822202	594.5295215
RPL6	194.5112236	185.0357111	172.2995298	260.0006169	198.2360237	146.8110771
MYL12B	168.8071658	178.682471	164.2919377	269.7216348	194.2361196	166.0770963
NFKBIA	130.705813	63.12535499	52.89962992	193.9070033	72.26577574	207.1438451
HSP90B1	257.9083928	209.6024334	206.0916345	197.0283132	203.1432656	137.4855627
S100A6	225.8134354	238.3501953	156.2962829	278.1779005	155.2662724	406.9763287
CNBP	214.8902694	172.6657343	168.9114842	217.1333422	183.7868635	253.6036064
ANGPTL4	118.2841989	181.8405701	157.6535702	403.7643482	288.6907407	75.84898403
RPL18AP3	160.3331884	163.8743114	149.8048043	245.1105644	166.9612874	137.604758
RPL39P3	220.1454275	159.7424826	113.808542	265.980225	134.9491921	172.9574298
TMSB4XP8	140.537283	161.9799052	110.8579502	263.0166109	169.3424931	488.2220181
RPS20	159.9190999	170.0703549	141.1233503	247.7462865	150.9735658	177.4327734
RPL12	188.734543	173.1315034	125.9410058	233.7562952	182.7958462	139.9152195
OAZ1	163.5189632	175.2731111	156.8345303	243.3115001	155.2630025	309.4436762
PPIA	185.6190093	184.8229374	182.1912467	273.035604	223.4115922	158.5034119
PGAM1	158.3014239	278.9239389	303.6761391	267.2755432	306.8151569	118.0186899
S100A8	160.4426884	40.0527146	58.94797096	347.8972877	71.74382202	356.007251
RPL13	148.8734588	167.8870073	114.6567586	230.777322	152.39794	169.5559705
FDX1	409.0106494	261.6513372	314.1137478	273.006944	162.620966	25.23647839
PGK1	182.9680266	254.2703066	304.8046872	271.3380367	285.3988017	101.8162906
RPL3P4	226.9584388	155.2183507	99.01074101	207.8616145	106.7948985	116.2197419
HSP90AA1	175.6457568	166.6185184	223.9412936	188.1263916	242.786563	152.8654956
RPS27A	177.4143241	132.3506201	121.8987658	247.0466204	165.9756497	173.0075366
PTMA	189.699027	150.8772036	156.983689	251.4975487	215.6083502	253.9545861
MYL6	162.6112175	217.2584403	180.8615027	271.1114657	218.1743264	170.9211662
OST4	197.3303559	198.877612	151.8395631	216.27843	155.6062585	145.5773893
JUNB	137.9599885	177.6023326	96.02207039	322.7671312	128.3699581	245.2424863
PABPC1	164.2078242	166.8100037	135.7908526	182.1594238	160.6091041	200.7973179
EDF1	177.8589007	166.320515	168.7570197	248.860096	185.4205488	167.7493716
RPL27	158.3375688	148.3398061	137.3735387	209.7357567	156.9467097	132.7522863
AL450405.1	276.7651088	127.2769881	140.4599094	249.8627834	187.2544598	140.1359652
HSPB1	98.57674746	137.7376894	94.22288592	159.2420986	110.4476195	107.3010014
ADM	286.6409672	208.8498398	189.0200795	345.9305111	204.720101	90.01162339
PRDX1	152.5741944	155.6529752	159.5135681	243.1949978	282.0984327	262.6346566
B2M	168.6621663	163.3249778	62.78285006	231.2009871	59.32331187	369.1909414
AC004057.1	97.05206416	102.5314671	117.5793069	143.5329148	168.3223576	185.7252695
TYROBP	156.6194492	122.0159355	67.13072763	159.7315577	39.893332	666.681031
RPS3	143.4434527	159.179766	122.5398851	207.5277572	141.6193478	130.3773931
ANXA5	117.9445806	135.2510071	144.4298488	170.3664186	147.7131365	198.8130999
RPS14	143.9085249	144.6491843	115.9696054	213.8254804	129.5818947	127.5895466
RPS18P12	265.2732781	131.1945335	99.05558283	97.48858687	141.2979048	98.51120257
DAD1	190.7699117	195.5288492	158.1505035	238.3333665	188.0987363	196.8811724
RPSA	138.9405942	145.2190984	131.9614266	185.3709562	172.9964321	159.6465224
DPYSL3	180.3029773	258.5318117	263.0167879	182.1839428	179.162135	27.07302513
RPS13	159.0838138	129.6591497	102.9388845	200.3604617	139.5073164	130.7066679
HLA-DRB1	132.8786662	508.0416603	292.9018863	406.0367244	0	4.046589893
MMP9	119.7451993	132.1943732	69.0110444	153.2191685	76.69602788	1015.637993
CD74	141.2188118	218.9608256	58.18997418	65.46867427	36.79341728	596.4777523
AC116533.1	217.5268753	123.623119	96.08135476	201.6767778	124.8463953	101.5059841
MMP14	138.045432	145.200763	86.00739747	203.6573574	154.7910445	279.4080979
THBS1	134.1222326	60.2217453	118.2264211	156.1216609	108.2813279	99.64669585
RPL18	110.8017409	136.3847314	117.9985376	218.9532953	145.2947428	132.898278
MRO	228.3137194	44.90285219	325.7087178	287.3690846	396.1354152	11.30862238
HNRNPA1	136.6306073	127.3367402	133.1602399	179.7485238	172.0905258	117.9755967
ATP6V1F	134.9710513	155.7225177	125.7569453	190.2791988	132.3093149	365.6388853
UBB	152.8386802	168.5210391	159.7459401	188.9146681	164.7492161	124.651585
GRINA	149.3038492	126.9121057	91.71285431	172.0421017	96.81297195	373.5657233
EIF3I	153.4927012	123.0024851	163.4224687	213.7559747	171.5883867	79.10157709
HLA-B	205.7603102	0.800403826	565.2005992	273.5954839	226.6776544	112.0607223
MRFAP1	161.7339597	163.241127	181.1077551	212.9289792	180.8646381	102.4859309
ARF1	153.9877343	151.176475	138.7312599	184.1701824	166.6415327	161.787242
HSD11B1	269.4637213	85.34338279	189.567998	268.9663086	106.3466796	16.44596223
MORF4L2	161.4812965	122.4034203	164.6097869	175.547016	180.514611	55.26418978
BCL2A1	102.340333	53.57546441	26.20591427	135.8294736	36.46130235	243.4252044
GRN	145.618329	181.4325759	87.40715632	117.5129297	64.96631792	629.8410232
EIF1	137.993449	116.3171501	102.0758645	189.2252035	133.1158963	150.4910966
BRK1	127.5451256	164.4752037	149.8314196	204.7610425	159.89279	137.789844
RPL35A	153.6510013	120.9758904	101.5012022	194.6465678	119.3475828	94.82620812
NOP10	129.1828108	134.0432767	116.1709937	199.0958369	134.3858888	214.2098353
RPL7P1	122.8924274	125.9353889	116.6270936	189.9768985	128.3609346	106.0631329
SLC25A5	145.3307318	164.8960564	167.2729406	181.8517341	181.674265	120.9448353
RPL23A	132.4530896	121.3456797	117.1738483	206.1825413	140.521061	113.8667934
RBP1	115.9588044	119.7422897	94.54415114	102.2080221	45.65550612	14.22875985
FAU	127.6036745	120.2157262	114.35994	213.1197379	150.6218887	154.8373496
RACK1	140.5702122	124.9249857	102.8242332	189.6883771	139.7416223	102.0385508
BEX3	198.9091767	196.9761982	151.0597638	184.3483856	120.6616026	41.39089529
PTTG1IP	148.8684863	391.0000462	236.0795229	156.4640113	114.2496858	91.13576796
SARAF	205.8445499	197.0192598	175.0769285	185.5014586	122.4608233	142.2330758
NAMPT	129.663088	61.84492691	61.13325046	156.919807	101.373376	127.046711
FLNA	105.1105316	138.9589342	151.3755751	137.061804	211.3525385	179.057737
ACADVL	181.7383131	176.6811587	176.6039398	228.088778	163.1158112	114.5768469
RPL32	128.1945396	112.2716684	90.65766598	183.6030621	109.4395617	110.2028803
ATF4	218.4259145	101.3318798	125.3750028	203.7896126	134.1792329	98.27460614
SF3B5	115.2935539	125.4799089	135.8280208	186.2153113	169.9516388	127.251804
MYL12A	111.2537713	130.7559546	107.3026916	182.9719126	139.9552041	115.5256801
BASP1	116.6101172	98.35474004	149.3935987	187.1216616	183.757048	110.4387298
CXCR4	164.1642019	90.63788106	73.89367564	161.6668844	44.49447493	321.5726199
LAPTM4A	197.2842712	174.7949865	159.3761277	166.8972636	136.7031606	142.096283
FN1	149.5446531	325.148003	185.3057705	120.4562067	281.3887795	26.16470161
AC024293.1	151.9075787	99.4109442	84.55654725	158.7030602	103.3712844	101.2420814
PDIA3	173.0354155	186.9747371	162.4083754	155.8913043	157.4297341	102.8706364
RPL24	129.6654886	120.7533048	94.00724677	180.1335539	130.0425931	102.187561
RRAD	98.9660638	268.5250758	125.4310883	237.0268718	203.3694229	78.97972432
RAB7A	149.8671285	130.4685888	128.301643	140.5670893	132.2857212	168.8407316
EFHD2	140.9297198	139.9126505	121.7131605	147.4619926	104.7134368	213.9021566
RPS5	92.54108817	115.5127142	98.13902196	171.0784352	127.3648292	91.85417897
ANXA2	105.0830169	113.3097951	133.3806705	123.556677	142.7302005	135.7512973
MCL1	121.3430278	110.6586256	119.8621878	148.4808122	129.6890757	130.5706568
FNDC4	170.6651416	105.2995244	149.3553504	194.231118	120.2032757	22.31074115
GSTP1	108.8002876	132.5802342	113.7787648	185.9869726	162.4898435	172.7779514
RPS21	135.7267264	130.4481418	77.44693252	190.2706596	117.0547468	121.3353359
ELOB	116.9921784	128.6160509	114.6156948	176.2976978	118.345985	156.2378478
RPL13AP5	107.1295931	115.5358311	85.63534899	161.3309504	108.0337742	103.3059956
NPM1	119.6244782	104.3465899	116.409965	152.3425368	166.6891768	100.8880051
GTF3C6	82.39970991	73.63940365	75.25450821	95.65668069	86.96695186	63.49475127
ITGB1	161.9832532	195.7665432	178.7392304	118.2952244	209.3619039	56.55536514
BTF3	111.8533793	104.7247236	96.94716294	171.1127699	120.4908385	96.32359828
MTND2P28	86.37890077	82.08153781	166.7338745	186.0294416	127.605513	45.50114735
NDUFA1	190.8148879	150.6825016	107.4558086	164.1252854	94.67078491	119.6232604
PEBP1	175.082634	167.272012	136.0590892	157.9884093	127.1722324	90.42769594
EIF4H	122.0173013	141.8912399	169.5536849	149.4264631	162.1843158	110.6912301
DDIT4	177.9266908	157.9095715	180.3538482	185.7136684	173.1171796	39.2966999
IFITM2	147.3559301	85.67902548	48.75401572	100.5213664	46.89987314	203.3523181
PPIF	124.3052531	141.6504939	136.1356389	163.3526226	127.3390378	98.14811998
TRIR	123.3309	113.7532103	92.14932671	178.7283999	123.0279081	154.8352371
BST2	125.6961136	173.4082721	128.9003196	101.5531699	123.6881049	159.7577738
EID1	150.1580175	155.3204223	184.632044	160.7517163	131.4410919	47.41240811
ECE1	277.0631586	157.6849528	207.9559887	106.779659	138.8582037	24.64743258
RPL15	108.6815982	119.6777695	105.566799	155.3577948	124.5551893	94.2943086
CCL20	47.72286814	9.122453564	17.06414149	298.0768865	51.45255426	12.40822341
MSMO1	381.7528863	149.4355181	267.8211885	163.3775076	115.2015757	11.92584793
COL5A2	122.6797576	72.67645663	88.99115805	172.3867237	178.828653	28.42964648
MYH9	116.3484973	159.2412725	151.4037516	110.0297037	203.1472383	121.3813049
SRP14	120.8125882	125.0732108	116.5050316	155.830019	115.2972572	108.1562142
COX8A	108.0470841	130.7749969	118.9921294	173.7517878	123.7404187	143.7197555
PRDX6	100.9321017	72.76815607	73.91891887	113.0582067	87.10967429	56.9412762
CMAS	173.0322378	94.66613694	200.1738894	96.56115035	82.45684471	28.52403134
RPN2	181.6533331	186.6674516	149.9111406	131.4652585	149.7280029	97.17862372
TUBB4B	75.07168348	135.2234255	151.269822	176.1087699	192.1903895	110.2586886
RPL36	123.5690799	124.5650442	90.15480714	167.0470256	112.0602701	85.70808759
RPL37A	109.0873731	98.94424875	84.31553062	171.8581048	106.9867897	62.85725455
PGD	147.6582988	143.0230305	115.345111	110.420551	67.52141122	213.751467
MYDGF	149.5624478	131.7398113	121.7778529	164.2272909	150.8125581	113.850859
PSMA7	103.8699861	103.5253323	111.9247248	148.5671171	132.8333898	135.3400924
RPL21P16	134.8717046	91.92667318	75.75454709	196.8393418	82.97244904	120.0086767
PLOD2	99.16768923	63.26489198	137.9573987	132.2963565	249.7266674	24.94533071
NDUFB7	98.7568273	120.5455085	109.6603802	166.7363666	117.0242819	120.9523937
HIST1H2BK	111.0970125	113.6235396	162.0502205	172.9672236	163.3181864	54.01313037
RPL28	95.57157225	98.67329941	75.93802325	151.0879431	84.93509546	82.69924707
ELOVL5	222.9639692	112.9082492	171.1306781	127.6877653	97.52560982	26.34066767
HTRA3	418.0526032	561.177753	140.7090545	100.0130523	66.27005557	12.77963575
HMOX1	70.87761757	102.6003036	55.4934213	68.32549866	48.57532562	415.3644575
RPL10P16	57.80562811	88.02673752	66.25598064	136.8591363	81.68218298	100.1476013
RPL34	106.7902624	94.69310928	70.35467633	157.9147863	86.60532442	94.70034222
RPS7P1	93.49766176	83.29852992	69.45239229	136.988508	92.40271069	66.83778645
HNRNPK	103.5934581	111.0668169	132.5271991	133.1987098	146.693513	118.310753
BSG	151.8780495	165.1866573	139.2558562	148.7958282	137.4692714	100.2965176
XRCC6	103.7911919	110.83266	137.2417485	145.6014548	156.4492805	101.8970792
CHMP4B	112.0965226	95.23814222	80.45454044	127.9436345	90.00298215	122.2850641
SOCS3	107.7156336	61.8343893	28.49376261	143.9229457	51.45431544	128.3992272
H3F3AP4	110.8761642	141.3850686	74.21092275	119.7615268	34.41450656	74.82767935
COX5B	126.2144552	124.8081931	101.7780407	160.0061779	101.4169569	91.48640487
LYZ	93.66731857	38.16461689	29.16182595	72.24632932	29.89786345	672.38871
GHITM	118.1384954	119.5758778	124.7737227	131.6210732	119.7270422	101.6087057
SOD2	80.50598468	40.10806739	35.58811324	111.0699838	53.98229475	117.6502636
EPHX1	132.719253	332.7830788	298.588599	89.51027915	162.8517401	34.43965204
HIST1H1C	113.2523843	119.2141826	157.8606022	243.3156099	139.7903892	25.28745569
AC008038.1	85.90149517	102.7650483	88.56106102	122.7279155	93.87518713	94.79461952
GLUL	91.56846155	141.9533148	79.82474684	58.94333301	30.72570629	278.1740003
VIM	77.63629407	199.8605268	131.7505378	112.3082698	97.07376286	152.6063986
GNB2	89.92567511	114.753736	92.64911581	135.439454	95.77751967	127.0686313
TNFAIP2	110.5121059	38.54064129	25.78951761	55.33062992	20.23869204	192.5945141
MRPL41	88.8215619	97.74612914	87.99629535	122.916675	102.4871871	98.12153335
POMP	84.47440823	85.14920315	97.1109139	134.988274	110.096203	77.14389016
IFI6	193.3105984	140.9929444	100.2245058	43.96459496	179.835425	120.0306041
IL6ST	178.0300308	140.9434346	156.9268717	93.74988644	114.4744671	25.71443037
CTSS	106.5405352	75.10526055	43.10802548	55.62948495	18.67837204	358.190575
ATP6V0E1	128.102026	114.6233202	93.22539362	132.5879561	88.38480142	196.2899485
UBA52	89.05557861	80.63459364	78.96029242	135.9306605	87.54382244	99.65846948
PPP1R15A	69.67735005	40.86954167	34.5695767	105.0211143	48.18709834	97.48635758
CFL1	89.85987272	104.0177344	101.4089412	126.6503903	123.3963965	135.1270688
VCP	100.4317935	122.1453958	151.6541358	133.0476615	161.1681024	70.77830433
TXNIP	93.9077622	103.9945678	59.66738071	104.9555055	57.68291631	222.5965929
GPX4	106.043306	120.1553671	82.83390413	132.143775	78.50104454	214.8671665
TMBIM6	125.3980656	135.4052701	126.0246545	123.6481738	112.6683137	130.6840966
SNRPB	72.58315952	88.59271285	94.48424338	181.6609853	132.8109126	91.42645074
YWHAQ	106.3864578	119.2412921	134.6025129	118.3782015	133.3738064	60.19034472
ARF4	115.4982632	102.0186809	113.6988998	123.7287586	157.0116949	61.61364854
ANP32B	102.837988	60.96176322	62.59469809	104.044608	71.21140772	65.2035245
CXCL2	38.17972787	30.6484712	15.06050091	144.8260582	50.62706301	76.17763864
RPL27A	100.9293497	91.07624019	62.93198279	128.3335959	83.12746984	83.92592581
CDKN1A	127.1462876	153.6915267	114.9839417	115.8265284	141.6593194	85.3897415
PPBP	62.61213418	77.75197757	68.48540036	739.1552709	154.6540198	19.76899857
P3H2	216.80211	180.0561958	149.1069566	109.7302233	101.9141238	14.76024525
LGALS3BP	153.7310108	181.8451703	123.7360258	88.07004998	127.6215338	37.68607541
VDAC1	91.25083435	110.0549056	145.8720177	139.613026	153.1055348	59.18872438
FKBP1A	97.34020491	104.7126675	110.4521395	114.2196347	112.7734972	87.35406428
APLP2	131.7767204	132.3450318	98.53596329	81.47390255	76.47908224	163.7707714
HSPD1	94.75578	103.8804572	126.4232652	109.1791964	143.0081349	53.40657981
FKBP8	102.0397378	110.1154938	99.67835763	122.5554189	85.56994709	123.4326487
AP2M1	94.26327934	115.3425578	125.9647109	120.0389653	121.1157294	100.1209538
TNC	96.46584149	28.26569959	133.2489159	68.55551771	145.7285721	16.8366326
ECHS1	99.39220483	134.7316051	110.6892789	118.001453	104.3656842	64.46046255
PGRMC1	113.2274815	132.663806	174.9828573	136.0318199	144.6427318	32.05229412
SDCBP	104.6452222	75.46100783	64.62333475	81.77470807	49.67017312	169.3137887
RPL39	96.49231401	78.34783351	64.36493434	139.4392128	75.17567335	75.21565303
CNN3	116.9079873	132.9783904	128.1010628	121.5305641	167.522717	21.32092144
LAPTM5	80.01568344	78.67761326	43.8593018	71.90353962	30.06099858	301.6157007
PSMB4	85.60949459	87.28632287	89.06522603	126.1537765	106.6793209	95.41663068
ATP5MD	97.40200586	85.83391953	93.05449509	144.2770248	96.94909152	57.34949337
MYL9	152.6008077	269.7952101	172.1718968	144.7659254	131.5910814	23.55364246
ANKRD1	86.73744002	26.9791315	26.8275315	156.0162221	174.0266662	38.7062259
CD53	84.5074983	46.78360701	31.88966116	87.06197236	22.24004387	225.0961233
LDLR	256.1993042	202.6517287	290.1247815	93.34424827	122.3681917	7.465821129
