Gene	C1	C2	C3	C4	C5	P1	P2	P3	P4	P5
SIGLEC14	0.52	0	0	0	1.6	0.6	0.68	5.32	0.03	1.36
ACOT8	7.76	11.12	7.19	5.67	11.03	9.4	6.36	11.78	9.58	11.53
ABI1	46.63	55.48	51.62	65.98	58.62	54.85	46.41	59.39	72.83	73.72
GNPDA1	67.51	90.42	91.33	91.96	77.18	55.45	37.52	61	50.66	75.13
MIMT1	0.21	0.11	0	0.06	0.17	0	0.25	0.05	0	0.08
KCNE3	0.27	5.05	0.76	0.6	1.81	0.98	0.97	3.16	0.66	0.76
ZBTB33	16.57	25.32	24.89	27.92	25.95	28.06	24.95	25.24	26.34	17.6
SNHG8	2.97	5.88	8.53	5.42	5.46	5.51	3.53	5.29	7.28	8.98
LOC100093631	8.13	6.47	3.34	6.7	3.72	5.75	9.57	7.09	8.83	3.03
CDH3	0.25	0.8	0.29	0.06	0.32	4.15	0.82	6.33	13.35	2.35
TANK	42.24	52.83	52.8	48.98	47.2	48.76	43.26	44.27	47.83	39.51
LOC100101266	0.61	0.29	0.08	0.2	0.49	1	0.52	0.56	0.77	0.16
POM121C	51.97	36.04	24.03	37.63	40.51	29.85	54.29	46.89	41.04	15.51
ZSCAN30	14.74	16.9	20.24	9.84	15.58	19.53	19.53	16.14	16.14	10.96
PSIMCT-1	3.13	3.98	2.56	3.51	2.41	2.56	3.75	3.22	2.26	2.53
ANKRD26P3	0	0.05	0	0.17	0.04	1.77	0.09	0.42	0.76	0.44
SRA1	84.44	65.02	56.9	71.57	69.56	49.51	40.98	64.98	42.06	67.51
SNORD119	0	0	0.08	0	0.03	0	0	0.02	0	0
SNORD19B	0	0	0	0	0	0	0.06	0.01	0	0
SNORD105B	0	0	0.04	0	0	0	0	0	0	0.08
UCKL1-AS1	12.79	6.9	4.64	6	9.54	10	10.86	12.32	7.51	5.37
SNORD127	0	0	0	0	0.05	0	0.03	0.01	0	0
SNORD126	0.04	0	0	0	0	0	0	0	0	0
SNORD11B	0.02	0	0.06	0.03	0.12	0.21	0.22	0.1	0.04	0
SNORD12B	0	0.21	0.06	0.27	0.05	0.04	0.11	0.09	0	0
TMEM170B	14.53	34.81	17.29	21.29	26.11	12.29	23.65	25.94	22.75	17.46
FAM138E	0	0	0	0	0	0	0	0.02	0	0
SCARNA27	0.09	0.11	0.21	0.03	0.05	0	0.05	0.01	0.11	0.04
SNORA84	9.6	14.95	8.43	11.89	1.29	3.36	1.99	1.09	7.9	15.81
SNORA36C	0	0	0.16	0.03	0	0	0.15	0.01	0	0
SNORA38B	2.65	6.02	2.82	4.56	0.34	0.81	1.54	0.29	4.11	4.39
SNORA70B	0.04	0.03	0.12	0.06	0.07	0.19	0.08	0.17	0.18	0.04
SNORA70C	0	0.11	0	0	0.01	0	0	0	0	0
SNORA11B	1.52	2.91	1.4	1.57	0.11	0.26	1.03	0.05	3.1	2.18
HOTAIR	0	0	0	0	0.04	0	0	0.01	0.24	0
ZGLP1	0.9	0.11	0.19	0.56	0.71	0.64	0.63	1.2	0.68	0.2
LOC100125556	1.31	5.56	1.42	1.54	2.54	2.12	1.17	1.71	1.95	1.56
FMR1-AS1	0.61	0.37	0.29	0.34	0.22	0.23	0.29	0.35	0.49	0.44
VTRNA2-1	0.02	0.48	0.16	0.13	0.01	0	0.09	0	0.53	0.26
MIR744	0	0.03	0	0	0	0	0	0.02	0	0.08
MIR940	0	0	0	0	0	0	0	0.01	0	0
MIR941-1	0.02	0	0	0	0.07	0.02	0.09	0.16	0	0
MIR941-4	0	0	0	0	0	0	0	0.01	0	0
SNAR-G1	0	0	0.12	0.03	0	0	0	0	0	0
SNAR-F	0	0	0	0	0	0	0	0	0	0.08
LOC100126784	4.62	0.94	1.59	1.84	1.53	4.51	2.21	3.7	6.99	4.55
EGOT	11.12	18.85	9.29	17.93	7.99	17.14	22	18.37	11.06	5.35
GHRLOS	1.68	1.04	1.22	0.87	1.06	1.71	2.16	1.4	1.69	0.72
KIAA1024L	0	0.03	0	0	0.03	0	0	0	0	0
LOC100127888	0.09	0.16	0	0.09	0	0.19	0.12	0.1	0.01	0
C10orf131	0	0.19	0	0.01	0.05	0	0.02	0.15	0	0
LOC100127983	1.74	2.59	2.82	2.1	3.1	2.37	2.78	3.09	3.35	2.51
WWTR1-AS1	1.24	0.86	1.32	1.09	0.99	1.15	0.73	0.75	1.3	1.06
LOC100128054	0	0.05	0	0.14	0.11	0	0.29	0.15	0.23	0.44
LOC100128071	1.83	1.02	0.41	0.17	0.75	2.22	0.93	1.34	1.22	1.42
LOC100128076	0.36	0.32	0.12	0.43	0.32	0.32	0.28	0.89	0.41	0
LOC100128081	0.07	0	0.08	0	0.01	0	0.09	0.01	0.08	0
LOC100128098	0	0	0.12	0	0.03	0	0	0	0	0
HGC6.3	0	0	0.02	0	0.02	0	0	0.1	0	0
LOC100128126	2.4	0.99	1.28	0.93	2.38	1.95	2.02	3.38	1.17	1.4
LOC100128164	0.21	0.37	0.06	0.43	0.16	0.08	0.28	0.31	0.3	0.28
LOC100128176	0.47	1.04	0.25	1	0.69	2.03	1.22	2.58	1.54	0.8
LOC100128191	0	0.37	0.04	0.23	0.2	0.32	0.34	0.53	0.6	1.46
LOC100128239	0.07	0	0	0.06	0.02	0.3	0	0	0	0
LOC100128252	9.58	8.69	9.11	8.46	15.6	9.72	13.35	14.73	13.17	11.02
LOC100128264	0	0	0	0	0	0	0	0.02	0	0
DNM1P35	0.07	0.21	0.33	0	0.4	0.34	0.39	0.12	0.14	0.72
LOC100128288	5.71	3.29	2.95	2.99	5.74	4.91	5.12	7.34	3.94	2.26
LOC100128292	2.11	1.02	1.44	0.7	1.61	2.24	2.22	1.71	2.6	2.02
BET3L	0	0.16	0	0	0.15	0	0.06	0.07	0.14	0
LOC100128338	5.91	4.14	4.41	3.81	6.79	4.96	6.08	8.96	3.77	1.98
LOC100128361	6.63	3.4	3.01	2.16	2.98	3.83	3.55	4.45	2.9	2.61
C3orf74	0.32	0.05	0	0.09	0.06	0.06	0.15	0.17	0.15	0.08
NCRNA00256B	0	0	0	0	0.04	0	0	0.05	0.16	0.08
LOC100128398	2.47	2.27	1.63	1.89	2.04	2.16	2.14	2.48	2.64	0.88
LOC100128420	0	0.11	0	0	0.02	0	0.02	0	0	0
LOC100128505	0.05	0.53	0.08	0.2	0.16	0.58	0.51	0.31	0.11	0
LOC100128511	0.07	0	0	0	0.04	0	0	0	0	0.04
LOC100128531	0.27	0.16	0.16	0.26	0.35	0.58	0.26	0.78	0.11	0.08
CTAGE4	3.19	2.67	5.07	6.97	5.11	4.59	6.31	9.37	3.58	2.59
LOC100128554	0	0	0	0	0	0	0	0.02	0	0
LOC100128568	0.77	0.27	0.27	0.1	0.33	0.56	0.97	0.67	0.5	0.3
C19orf71	2.1	1.12	1.11	1.01	1.89	0.47	1.56	1.95	1.11	1.62
LOC100128573	0.23	0.59	0.1	0.19	0.21	0.83	0.48	0.39	0.6	0.14
LOC100128590	0.47	0.67	0.21	0.23	0.77	0.19	0.76	0.48	0.22	0.52
LOC100128593	0.07	0	0	0	0.06	0	0	0.01	0	0
LOC100128640	0.82	0.35	0.29	0.7	0.67	0.53	0.62	1.17	1.29	0.8
LOC100128675	0.47	0.29	0.12	0.2	0.35	0.38	0.15	0.31	0.08	0.06
LOC100128682	0.38	0.21	0.08	0.21	0.34	0.38	0.28	0.31	0.04	0
LOC100128714	0	0	0	0	0.02	0	0	0	0	0
OST4	72.71	105.15	105.27	96.9	97.34	77.2	54.37	87.43	82.07	109.74
LOC100128750	0	0	0.16	0	0.14	0.41	0.12	0.06	0.14	0
LOC100128770	6.72	0.64	0.84	0.37	1.4	0.9	3.43	1.53	1.3	1.4
C9orf130	8.15	9.25	7.77	4.94	7.46	13.4	9.75	10.15	9.11	5.83
LOC100128787	0	0	0	0	0	0	0	0.02	0	0
LOC100128788	1.15	0.56	0.54	0.86	0.91	0.71	0.94	1.08	0.62	0.44
LOC100128811	0	0	0	0	0	0	0	0.02	0	0
LOC100128822	1.67	1.36	2.02	1.73	1.97	1.64	1.3	1.55	2.62	4.09
LOC100128881	4.59	2.7	1.07	2.1	2.96	2.22	3.53	3.16	2.02	0.78
LOC100128885	0.25	0.11	0.04	0.14	0.21	0.26	0.06	0.25	0.03	0.16
FAM66B	0.25	0.11	0.04	0.23	0.28	0.15	0.22	0.37	0.33	0.44
ZBTB42	5.66	6.52	6.08	4.82	6.57	9	5.06	8.1	7.98	6.96
LOC100128946	0	0	0	0	0.02	0	0	0.07	0	0
LOC100128993	0.43	0.7	0.76	0.41	0.73	0.88	1	0.65	0.22	0.48
LOC100129027	0.21	0	0.04	0	0.06	0	0	0.19	0	0
LOC100129034	25.06	25.35	19.17	14.85	16.43	23.08	23.28	27.02	16.75	8.04
LOC100129046	2.33	0.8	1.09	1.01	1.51	0.88	1.4	1.09	1.19	0.12
LOC100129055	0.27	0	0.08	0	0.06	0.23	0.25	0.21	0	0
UNQ6494	0	0.27	0	0	0.02	0	0	0.02	0.05	0
C14orf33	0.95	1.39	1.52	1.11	1.92	2.01	2.18	1.37	1.79	2.02
LOC100129083	0	0	0.04	0.01	0.07	0	0.02	0.11	0	0.14
KHDC1L	0	0	0	0	0	0	0	0.02	0	0
LOC100129138	0.73	0.19	0.12	0.24	0.17	0.09	0.34	0.25	0.08	0.22
LOC100129148	0.95	1.02	0.43	1.09	0.68	1.07	0.63	0.97	1.03	0.06
LOC100129175	0	0	0	0	0.02	0	0	0	0	0
LOC100129196	0.9	0.91	0.41	0.24	0.53	0.38	0.39	0.62	1.06	0.8
LOC100129213	0	0	0	0	0.02	0	0	0.01	0	0
LOC100129250	2.78	3.21	2.64	2.61	2.2	5.15	3.59	2.86	1.82	3.87
LOC100129269	4.71	1.98	2.51	1.1	1.93	2.95	2.22	4.15	2.37	1.94
C1orf68	0	0	0	0	0	0	0.03	0.01	0	0
LOC100129316	0.13	0.21	0.04	0.06	0.17	0.41	0.88	0.36	0.43	0
NRADDP	0.72	0.05	0.16	0.09	0.3	0.49	0.66	0.46	0.19	0.26
LOC100129361	19.79	20.45	19.45	20.69	19.65	21.71	17.56	17.24	17.21	18.52
C9orf92	0	0	0	0	0	0	0	0.01	0	0
LOC100129387	9.48	8.66	5.75	7.29	7.34	8.01	10.51	7.7	8.22	7.82
FAM106CP	0.59	0.99	0.1	0.16	0.49	1.09	0.6	0.76	0.5	0.08
MSTO2P	0.57	0.27	0.27	0.54	0.51	0.08	0.49	0.98	0.18	0.36
LOC100129407	0	0	0	0	0	0	0	0.01	0	0
RPL19P12	0.3	0.21	0.08	0.13	0.36	0.38	0.15	0.11	0.03	0.12
LOC100129427	0	0	0	0	0	0	0	0.02	0	0
DPY19L1P1	2.56	4.3	3.09	2.03	4.46	2.8	2.5	3.78	2.85	2.31
CXorf28	0	0	0	0	0	0	0	0.01	0	0
LOC100129480	0.27	0	0.31	0.36	0.63	0.32	0.82	0.76	0.42	0
ZNF37BP	15.26	20.29	14.82	17.57	14.63	23.4	34.91	22.99	16.48	8.64
LOC100129515	0	0.05	0	0.06	0.12	0	0.19	0.24	0.19	0.12
LOC100129518	4.78	4.06	2.37	2.04	2.75	3.85	6.33	4.58	1.98	3.55
LOC100129520	0	0	0	0	0	0	0.06	0.07	0	0
LOC100129534	1.11	1.26	0.6	0.87	1	1.86	2.05	0.45	0.41	1.2
ZNF730	1.34	1.76	1.67	1.81	0.98	1.35	1.9	1.06	3.85	2.29
LOC100129550	12.59	16.34	8.74	13.65	17.97	9.62	10.95	19.56	16.12	11.65
FAM47E	0.21	0.43	0.37	0.4	0.25	0	0.31	0.27	0.96	0.68
LOC100129617	1.5	1.95	0.91	1.37	0.73	2.35	2.44	2.97	1.99	0.98
LOC100129636	0	0	0	0	0	0	0.12	0.01	0	0
TCF24	0	0.43	0.04	0	0.12	0.19	0.02	0	0.14	0.08
LOC100129662	0	0	0	0	0.02	0	0	0.02	0	0
IZUMO3	0	0	0	0	0.04	0	0	0	0	0
LOC100129716	9.82	10.53	6.66	6.19	10.79	8.48	10.24	13.03	7.22	8.84
LOC100129722	0	0	0.06	0	0.04	0	0.08	0.14	0.16	0
LOC100129726	1.49	2.46	1.03	1.4	1.89	3.14	2.04	2.47	3.04	3.83
CCDC152	2.9	3.88	1.65	3.11	1.63	2.03	5.03	2.19	14.25	4.27
LOC100129794	0	0.11	0.08	0.09	0.02	0.23	0.12	0.07	0.11	0.2
LOC100129827	0.21	0.48	0.39	0.07	0.04	0.09	0.2	0.29	0.27	0
ZNF737	10.37	14.84	11.85	11.9	11.75	16.67	18.78	17.18	18.45	10.46
LOC100129845	0	0	0	0	0.02	0	0.09	0.01	0.08	0
LOC100129858	0.14	0.37	0.04	0.43	0.32	0.38	0.28	0.3	0.3	0.24
LOC100129917	3.55	3.56	1.75	2.23	3.26	1.94	3.3	4.88	1.69	2
LOC100129924	0	0	0.04	0.04	0.06	0.15	0.14	0.01	0.07	0.08
LOC100129931	1.63	2.54	0.62	2.89	0.82	0.04	1.17	0.99	1.14	0.16
LOC100129935	0.39	0.05	0.39	0.11	0.16	0.09	0.34	0.4	0.01	0.08
LOC100129961	0.68	0.64	1.83	0.74	1.6	0.68	1.62	1.11	0.49	0.34
HDAC6	72.19	67.48	43.92	65.63	76.43	64.51	52.92	77.58	53.7	83.34
LOC100130000	2.22	1.87	2.25	1.27	1.94	2.22	3.07	3.84	2.45	1.52
LOC100130015	0.66	0.53	0.25	0.46	0.28	0.47	1.14	0.56	0.38	0.66
FTLP10	0	0	0	0	0.03	0.06	0.08	0.01	0	0
LOC100130075	4.16	1.15	1.01	1.9	1.89	0.55	1.31	0.91	0.75	0.94
HSFX2	0	0.16	0	0	0	0	0	0	0	0
LOC100130093	1.9	2.09	0.91	0.99	1.69	0.75	1.03	2	1.52	1.12
LOC100130148	0	0	0	0	0.02	0	0.22	0	0	0
LOC100130155	0	0	0	0	0.02	0	0	0.02	0	0
LOC100130197	0.07	0.13	0.08	0.11	0.31	0.19	0.4	0.39	0.05	0.06
LOC100130231	1.06	3.9	0.84	2.74	1.72	1.41	2.13	2.92	1.8	1.2
LOC100130238	0	0	0	0	0.22	0	0.15	0.12	0	0
LOC100130264	0.14	0.11	0	0.14	0.01	0	0.03	0.09	0	0
CCDC166	0.11	0	0.04	0	0.06	0	0	0.06	0	0
LOC100130275	0	0.11	0	0.11	0	0	0.05	0	0	0
LOC100130298	0.32	0.48	0.08	0.14	0.03	0.24	0.09	0.17	0	0
LOC100130301	0	0	0	0	0	0	0	0.02	0	0
FAM48B1	0	0	0	0	0	0	0	0.04	0	0
C17orf107	6.77	12.89	3.5	5.6	9.02	9.51	10.12	16.78	8.83	9.64
LOC100130331	0.05	0	0.04	0.01	0.02	0	0.05	0.09	0.01	0.2
LOC100130342	0	0	0	0	0	0	0	0.05	0.07	0
LOC100130348	0.07	0.4	0.02	0.07	0.01	0.17	0.06	0	0.04	0
LOC100130357	1.5	3.96	1.44	2.46	2.64	0.92	2.78	3.88	0.75	1.68
LOC100130370	0	0.03	0	0.06	0	0.15	0.03	0	0	0
LOC100130386	0	0	0	0	0.01	0	0	0	0	0
LOC100130417	0	0	0	0	0.01	0	0.03	0.07	0.01	0
CECR7	7.7	1.79	2.16	1.83	1.97	1.77	3.87	1.65	2.79	0.44
PP14571	4.84	2.43	2.12	1.67	2.36	3.06	4.32	4.07	2.32	0.92
LOC100130451	5.89	6.76	5.34	6.43	6.43	6.73	9.55	8	7.61	4.59
LOC100130452	0.04	0	0	0	0	0	0	0	0.01	0
LOC100130476	10.86	9.68	4.29	8.59	7.77	14.53	14.33	15.4	9.67	11.02
LOC100130480	0	0	0	0.04	0	0	0	0	0	0
TMEM221	0.27	0.45	0.08	0.09	0.09	0.19	0.22	0.09	0.11	0
LOC100130522	1.49	0.72	0.16	0.84	1.69	1.13	1.77	1.7	2.25	1.28
LOC100130539	0	0	0	0	0.02	0	0	0	0	0
LOC100130557	3.17	5	2.74	2.69	3.78	3.74	4.07	5.22	3.14	3.11
LOC100130581	2.49	1.84	1.65	1.57	2.46	2.22	3.19	3.58	1.75	1.38
CXorf64	0	0	0	0	0	0	0	0.01	0	0
LOC100130673	0	0	0	0	0.04	0	0.06	0	0	0
LOC100130691	6.16	7.7	3.42	4.36	2.83	6.11	7.16	6.36	3.98	2.95
LOC100130705	2.94	1.02	1.36	0.81	1.65	2.37	2.07	1.7	1.41	1.2
CECR5-AS1	0.47	0.11	0.04	0.04	0.1	0.13	0.22	0.17	0.22	0.16
LRRC70	1.5	2.19	1.61	2.59	2.91	1.09	2.98	2.07	1.19	1.64
LRRC69	0.57	0.48	0.93	0.29	0.4	0.38	0.4	0.35	0.65	0.26
LOC100130744	9.55	3.8	5.4	5.72	6.1	3.68	6.42	8.6	6.27	2.77
EFCAB10	0	0.16	0.12	0.17	0.1	0.15	0.23	0.17	0.2	0.32
LOC100130776	7.61	6.31	3.67	4.3	9.01	8.83	4.6	9.02	10.7	9.5
SGK110	0	0	0	0	0.02	0	0	0.04	0	0
LOC100130855	3.06	3.8	4.35	4.97	4.24	4.85	4.29	4.2	6.03	2.55
LOC100130872	2.19	2.54	1.48	1.9	2	1.95	2.21	2.78	1.87	0.44
LOC100130880	0.32	0.08	0.31	0.73	0.3	0.36	0.26	0.71	0.27	0
PSORS1C3	0	0	0	0	0.09	0	0.52	0.05	0	0
LOC100130890	3.44	2.78	3.05	2.13	3.16	3.29	4.23	4.26	3.18	3.35
LOC100130894	0.81	0.37	0.39	0.41	0.49	1.15	0.89	1.11	0.95	0.2
LOC100130899	0.79	0.4	0.64	0.6	0.89	0.45	0.68	1.48	0.37	0.58
C17orf110	0.34	0.08	0.29	0.04	0.06	0.15	0.28	0.27	0	0
ZNF663	0	0	0	0	0	0.08	0	0.06	0	0
LOC100130950	0.9	0.75	0.43	0.49	0.76	0.47	1.06	0.43	0.73	0.04
LOC100130954	8.24	4.44	3.54	3.77	4.6	4.21	5.49	6.3	4.76	2.02
SYCE1L	1.15	0.43	0.25	0.67	0.44	0.9	0.39	0.65	0.68	0.94
LOC100130964	0	0	0	0	0.02	0	0	0	0	0
C6orf99	0	0.21	0.06	0.03	0.07	0	0.14	0.01	0.08	0.26
LOC100130987	0.5	0.78	0.25	0.06	0.61	0.6	1.16	0.83	1.19	0.48
LOC100130992	5.21	9.17	4.16	5.26	7.73	7.89	6.79	7.65	7.59	11.55
LOC100131047	0	0	0	0	0	0.19	0	0	0	0
LOC100131060	0.05	0	0	0.09	0.09	0	0.11	0.05	0.03	0.08
LOC100131067	6.43	4.41	3.48	3.63	3.95	4.62	5.01	4.29	2.49	2.83
LOC100131089	1.76	3.53	3.11	1.89	4.03	3.14	2.33	3.44	3.73	3.01
LOC100131094	2.53	0.45	1.13	0.63	1.05	1.41	1.2	1.52	0.83	0.9
LOC100131096	1.76	2.25	0.97	2.03	3.01	2.31	2.79	3.81	1.02	1.82
ZBTB20-AS1	0.54	0.91	0.78	0.7	1.7	1.18	1.2	1.99	1.96	0.88
LOC100131176	0	0.16	0	0.06	0	0	0.06	0.01	0	0
TSTD1	11.91	13.72	14.53	9.86	10.6	10.32	6.02	10.5	11.88	17.34
LOC100131193	3.67	1.42	0.8	1.26	3.66	1.58	2.02	3.47	0.27	1.06
RPL21P28	5.25	7.54	7.75	6.72	9.02	6.99	3.92	8.38	7.25	8.66
LOC100131208	0.29	0.4	0.08	0.06	0.13	0	0.06	0.26	0.08	0.24
TMEM194B	5.68	9.6	7.27	8.47	9.57	10.21	10.91	8.63	9.96	11.87
NCRNA00245	0.61	0.43	0.25	0.51	0.26	0.83	0.31	0.39	0.14	0.08
LOC100131234	0.21	1.47	0.21	0.79	0.3	0.11	0.71	0.41	0.22	0
ANKRD63	0	0	0	0	0	0	0	0.02	0	0
LOC100131257	161.47	115.45	108.95	117.08	149.99	162.13	221.08	179.91	144.23	69.41
LOC100131289	0.11	0	0	0.09	0	0	0.09	0.04	0.18	0
LOC100131320	0	0	0.08	0.01	0.03	0	0.02	0.12	0.05	0
LOC100131347	0.07	0	0.06	0.03	0.02	0.23	0.02	0.09	0	0
LOC100131366	0	0	0	0	0.02	0	0	0	0	0
C11orf91	10.5	2.73	3.44	3.07	5.48	4.51	5.65	6.25	3.97	2.18
SP9	0	0	0.04	0	0	0	0	0	0	0
LOC100131434	2.17	2.35	1.77	1.76	2.28	2.91	4.01	3.23	3.01	1.12
CD300LD	0	0.32	0	0	0.04	0	0	0.04	0.05	0
DBIL5P	0.29	0.32	0.21	0.49	0.26	0.6	0.43	0.48	0.16	0.12
LOC100131496	2.38	1.44	2.27	1.91	2.29	3.57	2.93	2.55	1.69	2.39
LOC100131532	0	0.05	0.02	0	0.06	0.19	0.03	0.02	0	0
LOC100131551	1.59	1.31	0.6	0.84	0.84	1.35	0.85	1.37	0.83	0.36
FKSG29	0.2	0.91	0.23	0.39	0.52	0.47	0.74	1.13	0.57	0.26
LOC100131564	9.87	14.38	9.09	7.89	12.84	18.68	18.39	15.4	11.73	7.9
LOC100131626	0	0.03	0.23	0.07	0.05	0.09	0.34	0.14	0.43	0
LOC100131635	0	0	0	0	0	0.09	0.02	0	0	0
LOC100131655	0.16	0.16	0.54	0.24	0.68	0.3	0.34	0.5	0.34	0.62
LOC100131691	2.4	1.5	1.2	1.34	1.77	1.22	2.28	2.1	1.42	1.12
LOC100131726	72.51	60.37	26.73	52.77	49.82	62.03	60.91	64.86	95.28	102.77
LOC100131733	0.11	0	0.21	0.14	0.07	0	0.15	0.09	0.61	0.28
ARMCX4	7.74	8.56	9.81	5.99	7.5	16.17	16.14	12.46	14.62	5.53
C19orf79	14.44	18.34	31.9	21.78	13.33	18.99	15.32	13.87	19.84	27.34
NCRNA00271	0.36	0.86	0.7	0.34	0.25	0.77	0.43	0.53	0.38	0.32
UBE2DNL	0	0	0	0	0	0	0	0.02	0	0
LOC100131825	0	0	0	0	0.07	0	0	0	0	0
ZNF717	7.17	12.97	8.76	5.44	7.37	10.38	7.73	8.29	6.22	6.53
FAM196B	0.07	2.54	0.87	0.73	0.8	0.96	0.77	1.65	0	0.72
KRTAP25-1	0	0	0	0	0	0	0	0	0.03	0
ZNF705G	0	0	0.04	0	0	0	0	0.04	0	0.08
RRN3P3	6.65	3.13	3.87	3.9	4.31	5.38	5.42	5.29	3.51	2.04
LOC100132062	0.39	0.27	0.62	2.71	0.47	3.83	0.83	0.79	1.08	0.08
LOC100132077	12.61	9.25	6.16	6.94	12.18	14.98	14.56	14.55	12.6	5.03
LOC100132078	0.5	0	0.06	0.31	0.03	0	0.03	0.02	0	0
HERC2P7	2.38	1.98	2.39	2.34	2.64	3.23	4.46	6.99	1.59	2
FAM66E	0	0	0	0.09	0	0	0	0.07	0	0
LOC100132111	0.29	0.45	0.43	0.4	0.37	0.56	0.39	0.56	0.81	1.02
LOC100132146	0	0	0	0	0	0	0	0.01	0	0
LOC100132163	0.81	0.64	0.56	0.54	0.72	1.75	1.05	1.03	1.41	0.28
LOC100132215	0.47	1.02	0.54	0.63	0.73	1.6	0.74	0.82	1.18	0.44
LOC100132247	17.43	10.94	17.95	19.23	17.5	14.96	19.33	15.82	17.22	4.57
LOC100132273	2.2	2.03	1.01	1.69	1.97	1.8	2.92	3.55	1.8	2.04
LOC100132287	0	0.05	0	0	0	0.19	0	0.14	0	0
TEKT4P2	1.07	1.34	1.38	1.5	3.68	0.04	1.84	1.42	2.32	0.48
KIAA0664L3	0.72	1.12	0.74	1.29	0.85	1.28	0.49	1.07	1.45	1.4
LOC100132352	4.14	5.99	5.34	3.89	6.54	5.49	4.91	8.11	6.54	4.37
LOC100132354	0	0.11	0.06	0	0.05	0.02	0	0	0	0
LOC100132356	2.67	1.87	2.16	2.07	2.78	1.94	4	4.19	3.08	2.37
LOC100132396	0	0	0	0	0	0	0	0.01	0	0
FAM157B	0.13	1.04	0.33	0.24	0.67	0.32	0.49	1.11	0.66	0.44
NBPF10	105.58	66.84	87.27	95.04	80.61	96.98	137.85	154.96	92.49	47.26
FCGR1C	0.21	0.32	0.12	0.11	0.37	0.53	0.59	0.2	0.11	0.36
CLDN24	0.77	1.07	0.45	0.34	0.87	0.81	1.19	1.69	0.8	0.58
KRTAP4-7	0	0	0	0	0	0	0	0.02	0	0
LOC100132526	2.54	0.37	0.37	0.63	1	0.64	1.02	1.28	1.03	0.36
GOLGA8F	0	0.16	0.04	0	0.02	0	0	0	0	0
PGAM1P5	0.54	0.05	0.35	0.43	0.43	0.7	0.15	0.71	0.65	0.28
XGPY2	0.45	0.03	0.16	0.09	0.15	0.15	1.1	0.15	0.28	0
LOC100132618	0.91	3.02	1.26	1.8	2.76	2.78	2.04	2.21	1.37	0.82
BSN-AS2	0.77	0.29	0.47	0.17	0.85	0.66	0.56	0.65	0.34	0.52
LOC100132707	4.05	5.72	1.9	4.3	2.77	4.53	4.21	3.11	4.78	5.29
CYP4F30P	0	0	0	0	0	0	0	0.05	0	0
LOC100132724	0.77	1.18	0.78	0.71	1.4	1	0.74	1.49	1.31	0.56
LOC100132735	0	0.16	0	0	0	0	0	0	0	0
LOC100132774	3.05	1.58	2.29	1.69	3.01	2.44	3.32	3.93	2.9	1.18
LOC100132781	1.63	2.54	2.56	2.74	3.35	3.97	4.32	2.22	3.41	0.96
LOC100132831	0	0	0	0	0	0	0	0.02	0	0
LOC100132832	13.95	8.72	4.86	5.59	7.29	7.86	14.56	10.89	8.64	3.11
LOC100132891	0.07	0.11	0.04	0.03	0.15	0	0.25	0.24	0	0.12
