Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
platelet aggregation	GOTERM_BP_DIRECT	3	4.285714285714286	0.0121469148601752	CSRP1, FLNA, ACTG1	66	50	19453	17.684545454545454	0.999922037269045	0.4724925296515296	0.4718820741868635
positive regulation of cell migration	GOTERM_BP_DIRECT	5	7.142857142857142	0.0122091092933211	PDGFC, TRIP6, PDGFB, FERMT2, ACTG1	66	267	19453	5.519521053228918	0.9999257454574682	0.4724925296515296	0.4718820741868635
regulation of cell shape	GOTERM_BP_DIRECT	4	5.714285714285714	0.014099410298713	CDC42SE1, WDR1, FERMT2, RHOB	66	151	19453	7.807746337547663	0.9999831406891342	0.5196639795811364	0.5189925790907215
peptidyl-tyrosine phosphorylation	GOTERM_BP_DIRECT	3	4.285714285714286	0.0161132806977411	TEC, PDGFB	66	58	19453	15.245297805642634	0.9999965365719108	0.558537027306101	0.557815403239814
protein localization to bicellular tight junction	GOTERM_BP_DIRECT	2	2.857142857142857	0.0165973535245999	FLNA, ACTG1	66	5	19453	117.8969696969697	0.9999976336309718	0.558537027306101	0.557815403239814
L-cystine transport	GOTERM_BP_DIRECT	2	2.857142857142857	0.0198841270761348	SLC7A9, SLC1A4	66	6	19453	98.24747474747475	0.9999998226933134	0.6412630982053487	0.6404345929105097
positive regulation of protein kinase B signaling	GOTERM_BP_DIRECT	4	5.714285714285714	0.0240319670764829	TGFB2, PDGFC, PDGFB, FERMT2	66	185	19453	6.372809172809173	0.9999999933449868	0.7052810491008732	0.7043698332751614
positive regulation of epithelial cell proliferation	GOTERM_BP_DIRECT	3	4.285714285714286	0.0241837704156923	ID1, HTRA1, FGF10	66	72	19453	12.280934343434344	0.9999999940998836	0.7052810491008732	0.7043698332751614
negative regulation of protein binding	GOTERM_BP_DIRECT	3	4.285714285714286	0.0260889979627732	ID1, PDGFB, DACT1	66	75	19453	11.78969696969697	0.9999999987000804	0.7052810491008732	0.7043698332751614
L-serine transport	GOTERM_BP_DIRECT	2	2.857142857142857	0.0264252589456399	SLC1A4, SLC38A2	66	8	19453	73.68560606060606	0.9999999990049692	0.7052810491008732	0.7043698332751614
regulation of platelet activation	GOTERM_BP_DIRECT	2	2.857142857142857	0.0264252589456399	TEC	66	8	19453	73.68560606060606	0.9999999990049692	0.7052810491008732	0.7043698332751614
Wnt signaling pathway	GOTERM_BP_DIRECT	4	5.714285714285714	0.0275168247778302	AMOTL2, FERMT2, DACT1, FGF10	66	195	19453	6.045998445998447	0.9999999995824173	0.7099340792680193	0.709016851775425
positive regulation of phosphatidylinositol 3-kinase signaling	GOTERM_BP_DIRECT	3	4.285714285714286	0.0287208737528353	TGFB2, PDGFC, PDGFB	66	79	19453	11.192750287686996	0.999999999839934	0.7170953640224056	0.716168884223927
glutamine transport	GOTERM_BP_DIRECT	2	2.857142857142857	0.0296796872395698	SLC1A4, SLC38A2	66	9	19453	65.4983164983165	0.9999999999254744	0.7178774351070952	0.7169499448808587
mitotic DNA replication checkpoint	GOTERM_BP_DIRECT	2	2.857142857142857	0.0329234035698469	HUS1B, CDC6	66	10	19453	58.94848484848485	0.9999999999944188	0.7494915989135752	0.748523263514462
glial cell migration	GOTERM_BP_DIRECT	2	2.857142857142857	0.0329234035698469	TGFB2, VCAN	66	10	19453	58.94848484848485	0.9999999999944188	0.7494915989135752	0.748523263514462
proline transport	GOTERM_BP_DIRECT	2	2.857142857142857	0.036156442647295	SLC1A4, SLC38A2	66	11	19453	53.58953168044077	0.999999999999582	0.799573903114467	0.7985408618959728
negative regulation of sequence-specific DNA binding transcription factor activity	GOTERM_BP_DIRECT	3	4.285714285714286	0.037961475342501	ID1, FLNA, NR0B2	66	92	19453	9.61116600790514	0.999999999999902	0.8161717198637731	0.8151172344375925
positive regulation of ERK1 and ERK2 cascade	GOTERM_BP_DIRECT	4	5.714285714285714	0.041717208925256	PDGFC, PDGFB, FERMT2, FGF10	66	230	19453	5.125955204216074	0.9999999999999952	0.845260142264973	0.8441680748977056
wound healing	GOTERM_BP_DIRECT	3	4.285714285714286	0.0425602215097395	TGFB2, TSKU, FGF10	66	98	19453	9.022727272727272	0.9999999999999976	0.845260142264973	0.8441680748977056
generation of neurons	GOTERM_BP_DIRECT	2	2.857142857142857	0.0425906273234288	TGFB2, DBN1	66	13	19453	45.34498834498834	0.9999999999999976	0.845260142264973	0.8441680748977056
positive regulation of actin filament bundle assembly	GOTERM_BP_DIRECT	2	2.857142857142857	0.0457918417900089	ID1, FLNA	66	14	19453	42.10606060606061	0.9999999999999998	0.8860721386366729	0.8849273425919226
