Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
outflow tract septum morphogenesis	GOTERM_BP_DIRECT	6	0.9230769230769232	0.001062480819976	NRP1, BMPR2, SEMA3C, MSX2, PARVA, LRP2	602	26	19453	7.457066189624329	0.9627508553017796	0.2988102111643723	0.2983274806132183
response to hypoxia	GOTERM_BP_DIRECT	15	2.307692307692308	0.001166965525741	MYOCD, NOS2, KCNJ8, PLAT, HIF3A, SOD2, SOD3, DDIT4, UCP2, MYB, CAPN2, ANG, TEK, CD24, SOX4	602	176	19453	2.7540301268498943	0.9730525698348138	0.2988102111643723	0.2983274806132183
intracellular signal transduction	GOTERM_BP_DIRECT	28	4.307692307692308	0.0012550994330005	CLEC4M, PAK1, DEPTOR, RPS6KA5, IRAK1, MDK, MCF2L, AKT3, STMN1, FYN, PAK3, PAG1, MARK1, GUCY1A2, IGFBP5, DAPK1, MCF2, PLCL1, NRG1, CORO2A, NR4A3, PPP1R1A, DDIT4, WNK3, SIK1, PRKCQ, TEK, PLCD3	602	462	19453	1.9584214235377024	0.979492662380402	0.2988102111643723	0.2983274806132183
ossification	GOTERM_BP_DIRECT	10	1.5384615384615383	0.0014539215955706	SMAD1, CLEC3A, TWSG1, SUN1, CASR, COL11A1, LRRC17, BCL2, TNFSF11, GPM6B	602	87	19453	3.7142475273990914	0.9889260719100416	0.3214205241636542	0.3209012664509504
negative regulation of cell growth	GOTERM_BP_DIRECT	12	1.8461538461538465	0.0018368493692637	BMPR2, WNT11, SERPINE2, CDKN2A, FRZB, HNF4A, BCL2, DACT3, ENPP1, OSGIN2, ESR2, RTN4	602	126	19453	3.077519379844961	0.9966213413239552	0.3790032531914158	0.3783909700683279
central nervous system development	GOTERM_BP_DIRECT	13	2.0	0.0021814177988057	SH3GL3, GRIK1, MSI1, S100B, HPCAL4, RPS6KA6, MARCKS, RNF103, PTPRZ1, SMO, DNER, NRCAM, NPTX1	602	148	19453	2.838387806411062	0.9988394517104976	0.4219680054564892	0.4212863123943623
axonal fasciculation	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0024151334977338	SEMA5A, NRP1, NRCAM, CNTN4, RTN4	602	19	19453	8.503671970624236	0.9994379271561892	0.4396963632638968	0.4389860298822103
Wnt signaling pathway	GOTERM_BP_DIRECT	15	2.307692307692308	0.0030393732591745	WNT2B, NDRG2, SFRP4, ZNRF3, WNT11, DAAM2, FRZB, SPIN1, DACT3, LRRFIP2, NDP, GPC4, CD24, CDK14, MARK1	602	195	19453	2.4856887298747767	0.9999190099904076	0.522603346508072	0.5217590761583013
gene expression	GOTERM_BP_DIRECT	12	1.8461538461538465	0.0041720498374457	SCARB2, CRB1, SMO, KCNJ8, KCNQ1, CNTN1, LRP5, ENPP1, PRICKLE1, PRDM1, SOX4, SGCG	602	140	19453	2.769767441860465	0.9999975987117292	0.6796049603628724	0.678507052510913
negative regulation of Wnt signaling pathway	GOTERM_BP_DIRECT	7	1.0769230769230769	0.005169202351633	SFRP4, CITED1, FGF9, FRZB, DACT3, SHISA2, MDFI	602	52	19453	4.349955277280858	0.9999998918962628	0.7999340639152177	0.7986417633273095
positive regulation of artery morphogenesis	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0054856956468729	MDK, AKT3, RTN4	602	4	19453	24.235465116279062	0.9999999596214744	0.8048972431394393	0.8035969244913951
SMAD protein signal transduction	GOTERM_BP_DIRECT	8	1.2307692307692308	0.0057828218821929	SMAD1, BMP3, NCEH1, CITED1, HNF4A, ATOH8, SMAD9, GDF7	602	70	19453	3.6930232558139537	0.9999999839857052	0.8048972431394393	0.8035969244913951
cell-cell adhesion via plasma-membrane adhesion molecules	GOTERM_BP_DIRECT	6	0.9230769230769232	0.0059814657810039	IGSF11, CDH4, CDH3, DCHS1, UNC5D, CDH18	602	38	19453	5.102203182374541	0.9999999913717552	0.8048972431394393	0.8035969244913951
regulation of neuron projection development	GOTERM_BP_DIRECT	6	0.9230769230769232	0.0066903429617305	NTNG1, GRID2, ULK4, NRCAM, CTNNA2, MARK1	602	39	19453	4.971377459749553	0.9999999990515472	0.8433095447982021	0.8419471707355233
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	GOTERM_BP_DIRECT	7	1.0769230769230769	0.0068118703133942	PTPRD, CRB1, CDH4, GRID2, CADM1, DCHS1, FAT4	602	55	19453	4.112684989429175	0.9999999993505354	0.8433095447982021	0.8419471707355233
positive regulation of neuron differentiation	GOTERM_BP_DIRECT	9	1.3846153846153846	0.0075949684324863	SH3GL3, ZEB1, MMD, ZC4H2, VWC2, NAP1L2, NRCAM, S100B, GDF7	602	92	19453	3.161147623862488	0.9999999999434642	0.8762219986669946	0.8748064542426537
adrenal gland development	GOTERM_BP_DIRECT	5	0.7692307692307693	0.00785361744705	CDKN1C, WNT11, MDK, INSR, NR0B1	602	26	19453	6.214221824686941	0.9999999999747676	0.8762219986669946	0.8748064542426537
male gonad development	GOTERM_BP_DIRECT	10	1.5384615384615383	0.0079270487763088	WNT2B, FGF9, INSR, FSHR, BCL2, GFRA1, NR0B1, LRP2, PATZ1, TLR3	602	112	19453	2.8851744186046515	0.9999999999799336	0.8762219986669946	0.8748064542426537
response to cold	GOTERM_BP_DIRECT	6	0.9230769230769232	0.0101151291285742	SLC25A27, UCP2, LPL, ADRB1, SOD2, LRP11	602	43	19453	4.508923742563548	0.9999999999999784	0.933050697504334	0.9315433458120816
genetic imprinting	GOTERM_BP_DIRECT	4	0.6153846153846154	0.010116876832103	ZDBF2, CDKN1C, PIK3CA, PICK1	602	15	19453	8.617054263565892	0.9999999999999784	0.933050697504334	0.9315433458120816
synaptic membrane adhesion	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0102466802883376	NTNG1, PTPRD, NRG1, GPC4, PCDH17	602	28	19453	5.770348837209303	0.9999999999999856	0.933050697504334	0.9315433458120816
positive regulation of endothelial cell proliferation	GOTERM_BP_DIRECT	8	1.2307692307692308	0.0103315882401551	SEMA5A, NRP1, BMPR2, AKT3, VASH2, ANG, TEK, F3	602	78	19453	3.3142516398330355	0.999999999999989	0.933050697504334	0.9315433458120816
positive regulation of synapse assembly	GOTERM_BP_DIRECT	7	1.0769230769230769	0.0103422410506706	PTPRD, GRID2, CLSTN2, LRTM2, SLITRK4, SLITRK6, LRRN1	602	60	19453	3.7699612403100775	0.9999999999999892	0.933050697504334	0.9315433458120816
positive regulation of sequence-specific DNA binding transcription factor activity	GOTERM_BP_DIRECT	10	1.5384615384615383	0.0109800465589946	FANK1, MYOCD, JUP, KDM1A, ZC4H2, LRP5, TNFSF11, NDP, ESR2, SAV1	602	118	19453	2.738470634607805	0.9999999999999986	0.933050697504334	0.9315433458120816
response to hormone	GOTERM_BP_DIRECT	6	0.9230769230769232	0.0111291848807688	NQO1, SFRP4, NOS2, SORD, MSI1, ANG	602	44	19453	4.40644820295983	0.9999999999999992	0.933050697504334	0.9315433458120816
branching involved in ureteric bud morphogenesis	GOTERM_BP_DIRECT	6	0.9230769230769232	0.0111291848807688	HS3ST3A1, CITED1, BCL2, DCHS1, FAT4, GZF1	602	44	19453	4.40644820295983	0.9999999999999992	0.933050697504334	0.9315433458120816
positive regulation of gene expression	GOTERM_BP_DIRECT	27	4.153846153846154	0.0111544025226689	SLC24A3, BMPR2, CITED1, PRDM1, RIMS1, CDH3, WNT11, FGF9, MUSTN1, TNFSF11, HES1, MARK1, SMAD1, CASR, CDKN2A, BCL11A, PAWR, NRG1, ANK2, F3, GDF7, SFRP4, CDK6, SMO, HAND2, CNTN1, TLR3	602	519	19453	1.681072724828606	0.9999999999999992	0.933050697504334	0.9315433458120816
positive regulation of sodium ion transport	GOTERM_BP_DIRECT	4	0.6153846153846154	0.0121698606324142	WNK3, CNTN1, SCN5A, FGF12	602	16	19453	8.078488372093023	1.0	0.9912031225611048	0.9896018251094714
nucleoside triphosphate catabolic process	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0131604794919732	ENTPD3, ENPP1, SMPDL3A	602	6	19453	16.156976744186046	1.0	1.0	0.9987071751777634
cell-cell junction assembly	GOTERM_BP_DIRECT	6	0.9230769230769232	0.0133606433274619	ARVCF, CDH4, CDH3, DCHS1, PKP4, CDH18	602	46	19453	4.214863498483316	1.0	1.0	0.9987071751777634
negative regulation of protein catabolic process	GOTERM_BP_DIRECT	6	0.9230769230769232	0.0133606433274619	NQO1, GRIN2A, SERPINE2, NOS2, FYN, NRG1	602	46	19453	4.214863498483316	1.0	1.0	0.9987071751777634
canonical Wnt signaling pathway	GOTERM_BP_DIRECT	9	1.3846153846153846	0.0137232821719937	SFRP4, WNT11, WNT2B, JUP, FGF9, FRZB, LRP5, DACT3, NDP	602	102	19453	2.8512311901504788	1.0	1.0	0.9987071751777634
sensory perception of sound	GOTERM_BP_DIRECT	12	1.8461538461538465	0.0142489407307166	SCARB2, TUB, ESPNL, HOMER2, COL11A1, KCNQ1, COL4A3, SLITRK6, LRP2, CCDC50, CDC14A, TMTC4	602	166	19453	2.335948444942561	1.0	1.0	0.9987071751777634
positive regulation of angiogenesis	GOTERM_BP_DIRECT	12	1.8461538461538465	0.0142489407307166	SEMA5A, NRP1, C5, PTGIS, JUP, AKT3, ADAM12, VASH2, TEK, F3, RTN4, TLR3	602	166	19453	2.335948444942561	1.0	1.0	0.9987071751777634
insulin-like growth factor receptor signaling pathway	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0146445862784665	GHR, IGFBP5, PIK3CA, IRS1, CRIM1	602	31	19453	5.211927981995499	1.0	1.0	0.9987071751777634
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	GOTERM_BP_DIRECT	6	0.9230769230769232	0.0158754604339945	ARVCF, CDH4, CDH3, DCHS1, PCDHB4, CDH18	602	48	19453	4.039244186046512	1.0	1.0	0.9987071751777634
modulation of synaptic transmission	GOTERM_BP_DIRECT	8	1.2307692307692308	0.0160771621491323	NTNG1, PTPRD, GRID2, NLGN4X, GRIK1, FYN, RTN4, DNM1	602	85	19453	3.0413132694938443	1.0	1.0	0.9987071751777634
positive regulation of cartilage development	GOTERM_BP_DIRECT	4	0.6153846153846154	0.0169419378883184	SMAD1, BMPR2, MDK, SOX5	602	18	19453	7.180878552971576	1.0	1.0	0.9987071751777634
cardiac conduction system development	GOTERM_BP_DIRECT	4	0.6153846153846154	0.0169419378883184	SMAD1, MSX2, NRG1, SCN5A	602	18	19453	7.180878552971576	1.0	1.0	0.9987071751777634
signal transduction	GOTERM_BP_DIRECT	55	8.461538461538462	0.0177868089810767	GABRB3, SH3GL3, NRP1, GABRB1, TNFAIP6, IRS1, HHIP, ARHGAP6, CRHBP, RPS6KA6, GRB14, FGF9, MDK, AKT3, RASSF6, STMN1, IGFBP1, GUCY1A2, IGFBP5, DAPK1, ARAP2, ANK2, GFRA1, HPCAL4, BCAM, MRAS, ULK2, PPP1R12B, PDE9A, TLR3, CDS1, PDE1A, TNFRSF11B, NDRG2, SAV1, WNT11, RPS6KC1, LRRC8C, SRGAP3, PAG1, IGBP1, SMAD1, DTNA, ARHGAP28, CDC7, OSGIN2, ESR2, BMP3, NR4A3, CDK6, PPP1R1A, TNFSF4, GNB5, TEK, FGF12	602	1307	19453	1.3598067650041814	1.0	1.0	0.9987071751777634
positive regulation of axon extension involved in axon guidance	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0180503405137597	SEMA5A, NRP1, BMPR2	602	7	19453	13.848837209302326	1.0	1.0	0.9987071751777634
cardiac ventricle development	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0180503405137597	MYOCD, TMEM65, SCN5A	602	7	19453	13.848837209302326	1.0	1.0	0.9987071751777634
retinal blood vessel morphogenesis	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0180503405137597	LRP5L, LRP5, NDP	602	7	19453	13.848837209302326	1.0	1.0	0.9987071751777634
adherens junction organization	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0181485467617165	DSP, CDH4, CDH3, DCHS1, CDH18	602	33	19453	4.896053558844257	1.0	1.0	0.9987071751777634
negative regulation of smooth muscle cell proliferation	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0181485467617165	BMPR2, IGFBP5, IGFBP3, ANG, NDRG2	602	33	19453	4.896053558844257	1.0	1.0	0.9987071751777634
negative regulation of BMP signaling pathway	GOTERM_BP_DIRECT	7	1.0769230769230769	0.0223232384425139	TWSG1, TNFAIP6, CRIM1, CHRD, VWC2, LRP2, SKIL	602	71	19453	3.185882738290206	1.0	1.0	0.9987071751777634
regulation of transcription, DNA-templated	GOTERM_BP_DIRECT	44	6.769230769230769	0.022349176494227	ZNF155, KDM5A, ZNF331, ZNF254, MYCBP, CITED1, KDM1A, POGK, NAB1, CDCA7, ZNF43, HIF3A, AFF3, RPS6KA5, ZNF85, MYB, SPIN1, ZNF547, HES1, LRRFIP2, PATZ1, SOX4, ZNF443, ZNF124, ZNF486, SMAD1, ZNF460, INSR, ATAD2, ZNF98, SMAD9, ESR2, ZNF33B, MLXIPL, ZEB1, ZNF836, ZNF615, ZNF536, ZNF415, ZNF711, PRKCQ, ZNF214, GZF1, ZNF530	602	1014	19453	1.4021833860832074	1.0	1.0	0.9987071751777634
hippo signaling	GOTERM_BP_DIRECT	4	0.6153846153846154	0.0226162606200631	DCHS1, FAT4, TEAD1, SAV1	602	20	19453	6.462790697674419	1.0	1.0	0.9987071751777634
regulation of neuron migration	GOTERM_BP_DIRECT	4	0.6153846153846154	0.0226162606200631	NTNG1, ULK4, UNC5D, CTNNA2	602	20	19453	6.462790697674419	1.0	1.0	0.9987071751777634
skeletal system development	GOTERM_BP_DIRECT	10	1.5384615384615383	0.0233643038686523	CDKN1C, BMP3, CLEC3A, MMP16, FRZB, CHRD, TNFRSF11B, SOX4, MATN3, DLL3	602	134	19453	2.411489066296425	1.0	1.0	0.9987071751777634
regulation of insulin-like growth factor receptor signaling pathway	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0235794508236852	IGFBP1, IGFBP5, IGFBP3	602	8	19453	12.117732558139531	1.0	1.0	0.9987071751777634
response to ethanol	GOTERM_BP_DIRECT	9	1.3846153846153846	0.0239546252859233	NQO1, ST6GAL1, GRIN2A, MAOB, GOT2, HTR1B, CLDN18, FYN, CLDN1	602	113	19453	2.5736777114632643	1.0	1.0	0.9987071751777634
endothelial cell migration	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0243074964642862	NRP1, PIK3CA, PLEKHG5, VSTM4, FSTL1	602	36	19453	4.488049095607235	1.0	1.0	0.9987071751777634
ventricular septum morphogenesis	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0266081481311618	BMPR2, WNT11, HES1, SOX4, SAV1	602	37	19453	4.366750471401635	1.0	1.0	0.9987071751777634
positive regulation of cell-substrate adhesion	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0266081481311618	VIT, EGFLAM, ECM2, VWC2, NDNF	602	37	19453	4.366750471401635	1.0	1.0	0.9987071751777634
BMP signaling pathway	GOTERM_BP_DIRECT	8	1.2307692307692308	0.0277575603261601	SMAD1, TWSG1, BMPR2, MSX2, CHRD, SMAD9, HES1, GDF7	602	95	19453	2.7211750305997557	1.0	1.0	0.9987071751777634
chondrocyte differentiation	GOTERM_BP_DIRECT	6	0.9230769230769232	0.0290207034041361	TWSG1, WNT2B, FGF9, MUSTN1, ADAMTS12, SOX5	602	56	19453	3.4622093023255816	1.0	1.0	0.9987071751777634
regulation of heart rate by cardiac conduction	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0290348166431866	DSP, JUP, KCNQ1, ANK2, SCN5A	602	38	19453	4.251835985312118	1.0	1.0	0.9987071751777634
positive regulation of protein kinase B signaling	GOTERM_BP_DIRECT	12	1.8461538461538465	0.0290580929520151	SEMA5A, IGFBP5, PIK3CA, PDGFD, INSR, FSHR, TNFSF11, NRG1, TEK, LRP2, F3, RTN4	602	185	19453	2.0960402262727844	1.0	1.0	0.9987071751777634
hepatocyte growth factor receptor signaling pathway	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0297037788064827	NRP1, PAK1, STMN1	602	9	19453	10.771317829457365	1.0	1.0	0.9987071751777634
atrial cardiac muscle cell action potential	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0297037788064827	KCNQ1, ANK2, SCN5A	602	9	19453	10.771317829457365	1.0	1.0	0.9987071751777634
coronary artery morphogenesis	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0297037788064827	NRP1, HAND2, LRP2	602	9	19453	10.771317829457365	1.0	1.0	0.9987071751777634
xenobiotic metabolic process	GOTERM_BP_DIRECT	9	1.3846153846153846	0.0300282057313592	NQO1, CYP2C8, CYP2A6, NCEH1, HNF4A, GSTA2, GSTA1, FMO5, SULT1C4	602	118	19453	2.4646235711470244	1.0	1.0	0.9987071751777634
negative regulation of neuron apoptotic process	GOTERM_BP_DIRECT	11	1.6923076923076923	0.03026009160912	SLC25A27, NRP1, CITED1, PIK3CA, PTPRZ1, MDK, UCP2, BCL2, NDNF, CPEB3, SOD2	602	163	19453	2.180696247681553	1.0	1.0	0.9987071751777634
regulation of MAPK cascade	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0315884707779928	PAK1, FSHR, ULK4, CD24, PAK3	602	39	19453	4.142814549791295	1.0	1.0	0.9987071751777634
protein localization to plasma membrane	GOTERM_BP_DIRECT	11	1.6923076923076923	0.0325156711970983	DPP10, CACNB3, TTC8, NFASC, JUP, WNK3, TSPAN17, DCHS1, ATP1B3, ANK2, ABCA12	602	165	19453	2.154263565891473	1.0	1.0	0.9987071751777634
negative regulation of transcription from RNA polymerase II promoter	GOTERM_BP_DIRECT	43	6.615384615384616	0.0336180394834058	CDKN1C, KDM5A, ZNF254, KDM1A, GLIS3, ZBTB42, PRDM1, BACH2, FGF9, SALL2, ZNF85, MYB, TNFSF11, HES1, PATZ1, SKIL, SOX4, ZNF124, IGBP1, KLF12, MYOCD, MSX2, BCL11A, USP3, CBX2, IRF2BP2, PAWR, TET1, NR0B1, FOXP2, HOPX, ESR2, MLXIPL, NR4A3, ZEB1, CDK6, SMO, NFE2L3, ZNF536, CPEB3, MDFI, NFE2L1, GZF1	602	1016	19453	1.3676181102362204	1.0	1.0	0.9987071751777634
regulation of synaptic plasticity	GOTERM_BP_DIRECT	6	0.9230769230769232	0.0353128439596232	RIMS1, GRIN2A, PLAT, CNTN4, CPEB3, LZTS1	602	59	19453	3.286164761529365	1.0	1.0	0.9987071751777634
brain development	GOTERM_BP_DIRECT	15	2.307692307692308	0.0354341647243447	PFKFB3, NEGR1, CITED1, SLC6A17, CADM1, PBX3, EML1, RTN4, NFASC, GRIN2A, SBK1, DDIT4, CNTN1, NRCAM, CNTN4	602	264	19453	1.8360200845665964	1.0	1.0	0.9987071751777634
regulation of small GTPase mediated signal transduction	GOTERM_BP_DIRECT	9	1.3846153846153846	0.0355917730222192	TIAM2, MCF2, PLEKHG5, MCF2L, ARAP2, ARHGAP28, SRGAP3, ARHGAP6, NGEF	602	122	19453	2.383816240945482	1.0	1.0	0.9987071751777634
bone marrow development	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0363813955994298	LRP5L, LRRC17, LRP5	602	10	19453	9.694186046511629	1.0	1.0	0.9987071751777634
positive regulation of mesenchymal cell proliferation	GOTERM_BP_DIRECT	4	0.6153846153846154	0.0366790659677413	SMO, FGF9, CHRD, LRP5	602	24	19453	5.385658914728682	1.0	1.0	0.9987071751777634
lung alveolus development	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0370795095736307	MYOCD, BMPR2, IGFBP5, ABCA12, HOPX	602	41	19453	3.9407260351673288	1.0	1.0	0.9987071751777634
positive regulation of neuron projection development	GOTERM_BP_DIRECT	9	1.3846153846153846	0.0370843816505986	SCARB2, KDM1A, NEGR1, MDK, BCL11A, KIDINS220, CNTN1, FYN, NDNF	602	123	19453	2.364435621100397	1.0	1.0	0.9987071751777634
negative regulation of insulin receptor signaling pathway	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0400177454636124	KANK1, GRB14, IRS1, ENPP1, PRKCQ	602	42	19453	3.8468992248062017	1.0	1.0	0.9987071751777634
artery morphogenesis	GOTERM_BP_DIRECT	4	0.6153846153846154	0.0407522803461412	NRP1, WNT11, HES1, PRDM1	602	25	19453	5.170232558139535	1.0	1.0	0.9987071751777634
regulation of interleukin-6 production	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0435723875507388	AFAP1L2, HLA-B, CAPN2	602	11	19453	8.81289640591966	1.0	1.0	0.9987071751777634
male sex determination	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0435723875507388	FGF9, INSR, NR0B1	602	11	19453	8.81289640591966	1.0	1.0	0.9987071751777634
dendritic spine maintenance	GOTERM_BP_DIRECT	3	0.4615384615384615	0.0435723875507388	INSR, PICK1, FYN	602	11	19453	8.81289640591966	1.0	1.0	0.9987071751777634
ionotropic glutamate receptor signaling pathway	GOTERM_BP_DIRECT	4	0.6153846153846154	0.045043410288917	GRIN2A, GRID2, GRIK1, CPEB3	602	26	19453	4.971377459749553	1.0	1.0	0.9987071751777634
positive regulation of transcription, DNA-templated	GOTERM_BP_DIRECT	32	4.923076923076923	0.045077868046902	CDKN1C, FANK1, KDM5A, MYCBP, CITED1, LRP5, MRPL12, ZXDA, WNT11, MDK, HNF4A, ATOH8, MYB, SPIN1, TASP1, NDP, PATZ1, TEAD1, SOX4, MYOCD, AFAP1L2, CDKN2A, INSR, ATAD2, EBF3, TOPORS, ESR2, GDF7, MLXIPL, ELF2, TADA1, ZNF711	602	728	19453	1.4203935599284436	1.0	1.0	0.9987071751777634
endocytosis	GOTERM_BP_DIRECT	12	1.8461538461538465	0.0454415170727296	GHR, SH3GL3, SCARA3, RINL, CLEC4M, DNER, LRP5, ENPP1, ANK2, LRP2, DNM1, ATP9A	602	199	19453	1.948580109851584	1.0	1.0	0.9987071751777634
eye development	GOTERM_BP_DIRECT	5	0.7692307692307693	0.0462802300310303	SALL2, FGF9, ADAMTS18, CPAMD8, PBX3	602	44	19453	3.672040169133192	1.0	1.0	0.9987071751777634
