Chemical Name	Chemical ID	CAS RN	Interaction	Interaction Actions	Reference Count	Organism Count
Leflunomide	D000077339	75706-12-6	Leflunomide results in decreased expression of PRLR mRNA	decreases^expression	1	1
lipopolysaccharide, E coli O55-B5	C482199		lipopolysaccharide, E coli O55-B5 results in decreased expression of PRLR mRNA	decreases^expression	1	1
LPM4870108	C000723544		LPM4870108 results in decreased expression of PRLR mRNA	decreases^expression	1	1
Mercaptopurine	D015122		Mercaptopurine results in decreased expression of PRLR mRNA	decreases^expression	1	1
Methimazole	D008713	60-56-0	Methimazole results in decreased expression of PRLR mRNA	decreases^expression	1	1
methyl cellosolve	C005219	109-86-4	methyl cellosolve results in decreased expression of PRLR mRNA	decreases^expression	1	1
methyleugenol	C005223	93-15-2	methyleugenol results in decreased expression of PRLR mRNA	decreases^expression	1	1
Methyl Methanesulfonate	D008741	66-27-3	Methyl Methanesulfonate results in decreased expression of PRLR mRNA	decreases^expression	1	1
Methylphenidate	D008774	113-45-1	Methylphenidate results in decreased expression of PRLR mRNA	decreases^expression	1	1
Mifepristone	D015735	84371-65-3	Mifepristone results in decreased expression of PRLR mRNA	decreases^expression	1	1
mono-(2-ethylhexyl)phthalate	C016599	4376-20-9	mono-(2-ethylhexyl)phthalate results in decreased expression of PRLR mRNA	decreases^expression	1	1
Nanotubes, Carbon	D037742		Nanotubes, Carbon analog results in decreased expression of PRLR mRNA	decreases^expression	1	1
Nanotubes, Carbon	D037742		Nanotubes, Carbon results in decreased expression of PRLR mRNA	decreases^expression	1	1
Nickel	D009532	7440-02-0	Nickel results in decreased expression of PRLR mRNA	decreases^expression	1	1
ochratoxin A	C025589	303-47-9	ochratoxin A results in decreased expression of PRLR mRNA	decreases^expression	1	1
o,p'-DDT	C016340	789-02-6	o,p'-DDT analog results in decreased expression of PRLR mRNA	decreases^expression	1	1
o,p'-DDT	C016340	789-02-6	o,p'-DDT results in decreased expression of PRLR mRNA	decreases^expression	1	1
pantogab	C016030	1977-33-9	pantogab results in decreased expression of PRLR mRNA	decreases^expression	1	1
Particulate Matter	D052638		Particulate Matter results in decreased expression of PRLR mRNA	decreases^expression	1	1
pentabromodiphenyl ether	C086401	32534-81-9	pentabromodiphenyl ether results in decreased expression of PRLR mRNA	decreases^expression	1	1
perfluorooctanoic acid	C023036	335-67-1	perfluorooctanoic acid results in decreased expression of PRLR mRNA	decreases^expression	1	1
Phenobarbital	D010634	50-06-6	Phenobarbital results in decreased expression of PRLR mRNA	decreases^expression	1	1
Phthalic Acids	D010795		Phthalic Acids results in decreased expression of PRLR mRNA	decreases^expression	2	1
pirinixic acid	C006253	50892-23-4	pirinixic acid results in decreased expression of PRLR mRNA	decreases^expression	3	1
potassium chromate(VI)	C027373	7789-00-6	potassium chromate(VI) results in decreased expression of PRLR mRNA	decreases^expression	1	1
Pregnenolone Carbonitrile	D011285	1434-54-4	Pregnenolone Carbonitrile results in decreased expression of PRLR mRNA	decreases^expression	2	2
Progesterone	D011374	57-83-0	Progesterone results in decreased expression of PRLR mRNA	decreases^expression	2	2
propiconazole	C045950	60207-90-1	propiconazole results in decreased expression of PRLR mRNA	decreases^expression	3	2
Propylthiouracil	D011441	51-52-5	Propylthiouracil results in decreased expression of PRLR mRNA	decreases^expression	1	1
Rapeseed Oil	D000074262		Rapeseed Oil metabolite results in decreased expression of PRLR mRNA	decreases^expression	1	1
sandostatinLAR	C541923		sandostatinLAR results in decreased expression of PRLR mRNA	decreases^expression	1	1
senecionine	C009237	130-01-8	senecionine results in decreased expression of PRLR protein	decreases^expression	1	1
Silicon Dioxide	D012822	7631-86-9	Silicon Dioxide results in decreased expression of PRLR mRNA	decreases^expression	1	1
Silver	D012834	7440-22-4	Silver analog results in decreased expression of PRLR mRNA	decreases^expression	1	1
Sirolimus	D020123	53123-88-9	Sirolimus results in decreased expression of PRLR mRNA	decreases^expression	1	1
Sulfadimethoxine	D013412	122-11-2	Sulfadimethoxine results in decreased expression of PRLR mRNA	decreases^expression	1	1
sulforaphane	C016766		sulforaphane results in decreased expression of PRLR mRNA	decreases^expression	1	1
systhane	C446685		systhane results in decreased expression of PRLR mRNA	decreases^expression	2	2
Tacrolimus	D016559	109581-93-3	Tacrolimus results in decreased expression of PRLR mRNA	decreases^expression	1	1
Tamoxifen	D013629	10540-29-1	Tamoxifen results in decreased expression of PRLR mRNA	decreases^expression	1	1
Testosterone	D013739	58-22-0	Testosterone deficiency results in decreased expression of PRLR mRNA	decreases^expression	1	1
Testosterone	D013739	58-22-0	Testosterone results in decreased expression of PRLR mRNA	decreases^expression	1	1
testosterone enanthate	C004648		testosterone enanthate results in decreased expression of PRLR mRNA	decreases^expression	1	1
Tetrachlorodibenzodioxin	D013749	1746-01-6	Tetrachlorodibenzodioxin results in decreased expression of PRLR mRNA	decreases^expression	6	2
Tobacco Smoke Pollution	D014028		Tobacco Smoke Pollution results in decreased expression of PRLR mRNA	decreases^expression	1	1
Urethane	D014520	51-79-6	Urethane results in decreased expression of PRLR mRNA	decreases^expression	1	1
vinylidene chloride	C029297	75-35-4	vinylidene chloride results in decreased expression of PRLR mRNA	decreases^expression	1	1
Zinc	D015032	7440-66-6	Zinc deficiency results in decreased expression of PRLR mRNA	decreases^expression	1	1
