GeneName	decidua_induced abortion_rep1	decidua_induced abortion_rep2	decidua_induced abortion_rep3	decidua_recurrent spontaneous abortion_rep1	decidua_recurrent spontaneous abortion_rep2	decidua_recurrent spontaneous abortion_rep3
ACSS1	12.6946	8.08833	62.4459	96.6623	69.0967	99.253
ACSS2	11.4139	7.4455	11.7524	8.60418	8.58869	8.33856
ACSS3	1.6596	3.50897	4.06635	2.63294	3.16517	3.25911
ACTA1	0.204196	0.155794	0.18482	0.145855	0.217889	0.124589
ACTA2	143.585	246.485	400.966	254.154	218.785	443.791
ACTB	1762.89	2066.23	1614.42	2270.88	1791.93	2450.94
ACTBL2	0.0101697	0.0356794	0	0	0.0411173	0
ACTC1	0.415371	0.370596	3.1447	0.313575	0.1597	0.4293
ACTG1	819.128	1088.11	1015.56	1243.82	1069.7	1354.35
ACTG2	2.91912	8.46955	37.8512	21.9068	9.07617	9.66854
ACTL10	1.76954	2.30597	2.01907	0.951306	1.09279	1.68377
ACTL6A	4.70272	7.60944	16.7648	13.7848	15.9532	19.1208
ACTL6B	0.300287	0.0465218	0	0	0	0
ACTL7A	0	0	0	0.0382554	0	0.0382711
ACTL7B	0	0	0	0	0.0179792	0
ACTL8	0.0952968	0	0.0150479	0	0	0.0187698
ACTL9	1.15056	0.784926	0.865981	0.604887	0.950215	0.86012
ACTN1	21.3861	47.4882	55.7604	57.8729	65.6206	54.775
ACTN2	0.234034	0.163704	0.0684724	0.252825	0.200888	0.182702
ACTN3	0.0297857	0.0580506	0.140075	0.105004	0.192616	0.127834
ACTN4	34.4109	86.9585	116.314	132.481	162.147	225.865
ACTR10	10.2061	18.1378	23.2478	23.3812	18.648	27.4291
ACTR1A	37.483	46.4789	43.0301	55.9148	48.2525	52.7804
ACTR1B	14.9978	31.9833	36.5113	29.5313	29.4649	38.4761
ACTR2	19.9372	25.0204	42.5624	39.1279	51.6418	42.0011
ACTR3	27.9204	34.2201	58.1197	59.9796	66.15	77.9424
ACTR3B	2.4796	3.28617	3.61769	1.37706	2.69426	3.16904
ACTR3BP2	0	0.0272395	0	0	0	0
ACTR3BP5	0	0	0	0	0	0.0108296
ACTR3C	0	1.46918	2.47329	0.82305	2.36088	0
ACTR5	4.2935	5.26488	4.55513	3.17655	3.32371	4.6816
ACTR6	3.03684	4.97231	9.12809	6.47056	7.78661	8.1343
ACTR8	20.3494	6.68055	5.22786	5.78343	7.81202	7.39321
ACTRT1	0	0	0.0202586	0	0	0
ACTRT2	0	0	0	0	0	0.0515037
ACVR1	4.79704	4.42396	9.70888	9.24996	11.4253	11.5728
ACVR1B	2.78466	8.06914	11.6689	8.82306	13.2114	6.51803
ACVR1C	0.15432	0.067508	0.204061	0.092998	0.0394604	0.284033
ACVR2A	1.2335	1.47515	2.01826	1.42838	1.99491	2.60711
ACVR2B	0.435593	0.784744	0.533415	0.467971	0.730562	0.472786
ACVRL1	11.2479	11.8561	21.6179	7.83414	11.4821	9.00722
ACY1	34.8713	40.9315	23.5306	25.6368	16.6864	23.0604
ACY3	12.6553	5.84886	8.00019	6.31354	3.50194	8.86117
ACYP1	8.42279	15.1263	3.14616	10.0021	12.2125	16.154
ACYP2	9.03531	9.68506	10.9133	9.74632	5.38244	10.5577
ADA	7.56602	10.7617	11.209	10.9205	6.21759	9.76407
ADAD1	0	0	0	0.0137304	0	0.0182733
ADAD2	0.0993903	0.650145	0.233332	0.233686	0.18478	0.550669
ADAL	0.660295	1.18842	1.45501	1.35666	1.47542	1.1914
ADAM1	0.209843	0.292129	1.52267	11.4609	0.63817	10.5589
ADAM10	12.1951	12.9083	19.6621	18.8456	23.6263	20.4805
ADAM11	0.534869	0.307922	0.428953	0.137702	0.424433	0.490435
ADAM12	1.32114	18.4307	1.57198	10.4638	41.908	3.51858
ADAM15	84.2771	56.4459	40.833	29.706	37.561	33.5428
ADAM17	0	0	4.03111	4.34257	7.43635	3.37974
ADAM18	0	0	0	0	0	0
ADAM19	2.55411	54.4963	4.17355	4.26357	30.8658	3.38507
ADAM2	0	0	0	0	0	0
ADAM20	0.0712431	0.0119023	0.00957542	0.0269175	0.00822991	9.81615
ADAM21	0.0428253	0.0187846	0.0907144	0.0755583	0.0519846	0.0250945
ADAM21P1	0	0.0417755	0.0539637	0	0.0116061	0.0252258
ADAM22	0.2237	0.141807	0.453711	0.311095	0.412439	0.468451
ADAM23	0.489162	1.49256	2.44615	1.07425	2.17233	1.60309
ADAM28	2.57783	2.55865	4.00184	3.11267	6.15274	3.8147
ADAM29	0.0448946	0.0209921	0	0.0237123	0.0144961	0.0157406
ADAM30	0	0.0220936	0	0	0	0
ADAM32	26.2553	16.6551	1.25113	42.0044	40.4764	27.613
ADAM33	31.6434	25.4027	11.5317	23.0342	16.6213	35.1074
ADAM3A	0	0	0	0	0	0
ADAM5P	0.313475	0	0	0.15595	0	0
ADAM6	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0
ADAM8	8.0371	18.8994	6.73082	12.4745	12.2814	7.25422
ADAM9	26.2553	16.6551	28.9896	42.0044	40.4764	27.613
ADAMDEC1	0	0.0456622	0.0368248	0.0345072	0.18927	0.159181
ADAMTS1	51.2734	68.3325	200.911	66.7798	110.097	144.31
ADAMTS10	4.0582	6.04388	8.28208	7.00511	10.2961	13.2887
ADAMTS12	2.09912	2.26151	2.44578	3.26286	1.69748	4.48046
ADAMTS13	9.9469	3.92969	1.5166	1.34655	1.55382	0
ADAMTS14	0.104271	0.66217	0.4212	0.353782	0.809765	0.472178
ADAMTS15	23.9631	39.8724	67.8639	27.8831	16.1108	30.1077
ADAMTS16	0.823322	2.24505	1.08747	0.96344	1.1007	6.29094
ADAMTS17	0.778532	1.24436	0.720219	1.93199	1.41761	1.86118
ADAMTS18	0.0923483	0.0485023	0.968284	0.0646879	0.329651	0.258714
ADAMTS19	0.555754	1.27292	0.873362	2.93667	0.675472	2.01153
ADAMTS2	70.48	121.631	51.9266	77.8756	25.5411	70.374
ADAMTS20	0	1.17557	0.0133684	0	0.408254	0.0138365
ADAMTS3	0.267453	0.147866	0.328888	0.086285	0.32373	0.201515
ADAMTS4	7.59092	7.55582	6.61252	32.5729	40.8954	14.4902
ADAMTS5	17.2633	7.93982	9.20838	53.0291	28.4082	33.0392
ADAMTS6	0.307626	2.02879	4.66154	1.98892	3.86276	2.5409
ADAMTS7	6.58379	6.17574	8.97714	14.0803	17.7095	12.8436
ADAMTS8	4.19099	9.559	15.0965	2.93221	3.12378	6.9468
ADAMTS9	171.156	192.236	35.3225	73.1528	48.6781	131.237
ADAMTS9-AS2	0.882214	0.121826	1.39031	0	1.78947	1.3695
ADAMTSL1	0.711082	1.14772	3.30493	2.35112	4.42294	2.49044
ADAMTSL2	1.05371	1.34768	1.30035	0.83553	1.06788	0.770075
ADAMTSL3	0.0110914	0.0258818	0.0759241	0.116408	0.204365	0.0642693
ADAMTSL4	61.5579	46.9359	45.5182	71.2123	29.2567	40.7512
ADAMTSL5	4.53469	5.34053	5.86058	7.87986	3.06009	7.70422
ADAP1	3.03341	5.26062	7.82003	4.627	5.13984	4.06211
ADAP2	7.02123	22.1699	18.0332	22.34	17.6115	24.2365
ADAR	30.9952	14.6169	42.6541	49.3091	39.7853	41.8605
ADARB1	5.78159	3.82491	4.86806	4.98661	4.66762	8.48831
ADARB2	0.0224475	0.037943	0.0693147	0.0140151	0.0667467	0.0259942
ADARB2-AS1	0	0	0.0594799	0	0	0
ADAT1	0.701313	2.74059	4.26857	3.62638	3.79765	0
ADAT2	0.810194	0	1.7056	1.22586	0.947318	1.29091
ADAT3	20.8572	46.5151	33.3822	25.626	22.6818	19.1703
ADC	0.452547	1.34257	0.853098	1.97003	0.964793	2.91565
ADCK1	11.8446	6.42686	5.29997	4.5492	0	2.98245
ADCK2	5.85153	12.8559	8.18634	6.11961	8.10702	8.64987
ADCK3	10.8826	7.13475	10.4991	4.80379	9.79751	8.10163
ADCK4	18.5287	15.7953	25.9764	12.4101	24.5512	12.1467
ADCK5	5.62877	7.92419	5.84723	0	0	6.55414
ADCY1	9.65707	12.0379	10.8574	6.41557	4.87785	10.2182
ADCY10	0.0221397	0.143905	0.127549	0.0873325	14.8149	0.0652879
ADCY2	0.269896	0.227355	0.415145	0.222115	0.148417	0.395907
ADCY3	49.4203	18.2697	60.4557	39.7456	39.3167	46.8064
ADCY4	35.7411	12.7178	8.33877	9.10446	15.1181	17.413
ADCY5	2.36184	3.85973	7.71776	2.70191	5.69889	5.47381
ADCY6	5.95615	7.21627	10.1685	11.5554	15.4289	9.19672
ADCY7	7.61091	4.91612	8.19689	11.1318	9.84536	9.07608
ADCY8	0.101434	0.102681	0.0696935	0	0	0
ADCY9	4.33432	3.12878	5.72225	6.88273	5.50863	4.61242
ADCYAP1	0	0	0	0.0156948	0.0215878	0
ADCYAP1R1	0.101663	0.054371	0.102863	0.0852594	0.151431	0.153347
ADD1	43.106	62.2749	0	72.9687	0	48.7889
ADD2	0.0739636	0.060143	0.155757	0.0904542	0.0896639	0.114206
ADD3	8.54986	9.54862	26.7191	21.0474	21.8631	18.3753
ADGB	0.0155508	0.060512	0.00484736	0	0	0.0170609
ADH1A	0	0	0	0	0	0
ADH1B	0.0744007	0.186479	19.5104	0.131255	3.42292	2.40272
ADH1C	0.0621733	0.340603	19.5104	0.0925551	1.54868	2.33069
ADH4	0.0148292	0.0868565	0.0841889	0	0.0724363	0.0437372
ADH5	21.8127	50.0312	55.9601	40.147	43.4278	55.1718
ADH6	0.0810765	0	0	0	0	0
ADH7	0	0	0	0	0	0
ADHFE1	6.15625	3.43396	4.45182	2.8267	3.45066	4.03217
ADI1	59.4122	114.919	84.2758	79.2662	56.4744	92.3758
ADIG	0	0	0	0	0	0
ADIPOQ	0	0.00139924	0.00564038	0	0.00241641	0.00350442
ADIPOR1	19.1718	32.6469	46.1317	41.8148	41.202	38.4296
ADIPOR2	5.73838	9.80917	12.8902	14.651	13.9342	14.0592
ADK	11.33	12.0625	11.809	16.5236	18.7188	13.193
ADM	32.0854	60.7815	8.76182	153.501	133.981	31.8406
ADM2	0.192838	0.217111	0.422392	0.120888	0.276888	0.0962653
ADNP	3.8835	3.90254	14.7509	9.23253	12.9708	11.5483
ADNP2	1.10031	1.12797	2.1446	1.9581	3.06811	2.28298
ADO	3.57819	3.44588	6.15635	5.11736	4.81773	5.90799
ADORA1	1.62562	7.48441	1.18795	2.14508	3.12042	2.35492
ADORA2A	0.938443	2.29573	2.0496	2.00638	2.15591	1.13377
ADORA2B	0.955049	2.25565	2.7536	1.77875	1.41767	1.9033
ADORA3	4.5568	10.8486	2.55606	7.69395	5.58053	4.81131
ADPGK	13.854	20.2566	19.6025	27.1962	20.7266	36.048
ADPRH	3.98658	2.93146	3.83683	4.27845	4.19395	3.88622
ADPRHL1	1.40427	1.57495	2.35583	1.61164	2.04106	4.9913
ADPRHL2	19.021	23.8816	19.1366	34.0655	19.5572	22.7019
ADRA1A	0.0263306	0.0756769	0.0840536	0.0129851	0.0117416	0.0791416
ADRA1B	0.179811	0.375865	0.448557	0.363525	0.827895	0.83607
ADRA1D	0.0320929	0.0625644	0.306472	0.227212	0.112541	0.321281
ADRA2A	12.6189	32.7049	42.9602	13.3359	47.4344	22.8089
ADRA2B	0.0516243	0.231299	0.226225	0.264971	0.2499	0.188749
ADRA2C	99.5071	100.698	76.4221	116.211	96.2091	249.413
ADRB1	0.346848	0.312882	0.16777	0.366814	0.456591	0.336373
ADRB2	0.300761	0.335481	0.39275	0.566823	0.51265	0.751276
ADRB3	0.42062	0.231286	0.172627	0.818308	0.288053	0.353953
ADRBK1	33.3753	35.7599	36.0561	32.4656	53.3912	42.0922
ADRBK2	1.21044	0.881371	0.704412	1.74911	1.49506	0.917854
ADRM1	81.8414	113.753	69.8306	63.6469	57.4488	74.7917
ADSL	48.0892	46.8914	49.9544	58.0356	54.2735	71.1076
ADSS	6.99187	7.70686	14.8328	12.2775	18.0431	20.046
ADSSL1	1.17063	8.08592	3.577	29.801	27.0621	3.30116
ADTRP	0	0	0	0.043838	0.0671085	0
AEBP1	120.201	74.1141	64.6295	227.796	54.931	107.975
AEBP2	1.5367	1.63753	2.8974	2.82151	4.23355	3.63184
AEN	2.8497	3.67761	4.65401	6.42726	4.05381	3.78991
AES	527.166	886.803	327.742	475.369	326.408	392.71
AFAP1	2.78282	5.34115	4.78756	8.23715	13.4696	5.37353
AFAP1-AS1	0	0	0	0	0	0
AFAP1L1	1.76953	2.01971	3.58591	2.21013	7.52705	2.45238
AFAP1L2	5.92426	17.0122	28.7538	24.1678	23.687	35.2929
AFF1	6.96793	7.22735	11.6013	14.1726	16.7541	10.0933
AFF2	0.0157066	0.0331035	0.0488435	0.00762538	0.0349242	0.0531383
AFF3	0.664223	0.743844	1.48278	1.5648	1.60323	1.19539
AFF4	3.4422	3.70002	5.88179	10.2736	11.1918	11.4081
AFG3L1P	2.10773	3.40192	4.97102	0	5.27552	5.12763
AFG3L2	11.9131	15.913	20.5445	14.9859	18.0661	18.5656
AFM	0	0	0	0	0	0
AFMID	8.96059	11.5379	6.13336	7.46253	7.84291	5.38019
AFP	0.201602	0.0337322	0	0	0.0468643	0.00848846
AFTPH	3.67677	4.21902	9.11984	6.1377	8.30602	13.4523
AGA	8.57709	8.26728	8.42881	14.9001	12.0132	12.8557
AGAP1	0.704417	1.32553	2.24655	1.52944	1.80684	1.62611
AGAP11	41.8765	19.5439	32.1602	25.631	19.9013	47.1436
AGAP2	1.35403	1.12828	0	1.60415	2.27807	2.1786
AGAP3	25.8582	37.6814	28.9786	54.9902	24.6463	31.971
AGAP4	1.14666	3.6232	4.15518	4.42585	3.05561	4.539
AGAP5	1.59182	3.04405	4.11169	3.95876	4.90706	3.77475
AGAP6	2.06049	10.0115	12.1492	10.2164	8.04998	10.3328
AGAP7	0.965643	3.7588	4.05593	8.14759	8.98958	5.12246
AGAP8	0.705012	3.7588	4.05593	8.14759	8.98958	5.12246
AGAP9	0.630788	2.29287	4.88415	4.87219	5.37074	2.97806
AGBL1	0	0	0	0	0	0
