ID	Type	Exp	Gene
GSM5773736	Control	4.43177304126337	PDGFC
GSM5773737	Control	4.8185949736382	PDGFC
GSM5773738	Control	4.54445726942878	PDGFC
GSM5773739	PCOS	4.54773558808221	PDGFC
GSM5773740	PCOS	4.9532403178746	PDGFC
GSM5773741	PCOS	3.65139579385629	PDGFC
GSM5138284	Control	4.50430925185083	PRLR
GSM5138285	Control	3.41322547452804	PRLR
GSM5138286	Control	3.43093167112092	PRLR
GSM5138287	Control	3.08240032569232	PRLR
GSM5138288	Control	4.38607483584479	PRLR
GSM5138279	PCOS	4.74643523702521	PRLR
GSM5138280	PCOS	4.57543586565603	PRLR
GSM5138281	PCOS	4.55117922050794	PRLR
GSM5138282	PCOS	5.53450250025115	PRLR
GSM5138283	PCOS	4.79475007133628	PRLR
GSM5773736	Control	4.3275368376498	PRLR
GSM5773737	Control	5.23298991168325	PRLR
GSM5773738	Control	4.99242290778983	PRLR
GSM5773739	PCOS	3.71953572931239	PRLR
GSM5773740	PCOS	3.94209257355765	PRLR
GSM5773741	PCOS	3.42812190732916	PRLR
